lang,layer,avg_random_cosine
en,0,0.6960484385490417
en,1,0.8491761684417725
en,2,0.990023136138916
en,3,0.9810420870780945
en,4,0.9605919122695923
en,5,0.9584903120994568
en,6,0.9251791834831238
en,7,0.972221314907074
en,8,0.9647120833396912
en,9,0.9544983506202698
en,10,0.9662777185440063
en,11,0.9698266386985779
en,12,0.9807885885238647
en,13,0.9883735179901123
en,14,0.9893638491630554
en,15,0.9861857295036316
en,16,0.9890339374542236
en,17,0.9807935953140259
en,18,0.9502299427986145
en,19,0.9398180246353149
en,20,0.9447008967399597
en,21,0.9685748219490051
en,22,0.9806910157203674
en,23,0.9508672952651978
en,24,0.9469271898269653
en,25,0.9667788743972778
en,26,0.9737139940261841
en,27,0.982558012008667
en,28,0.9846726059913635
en,29,0.9884030818939209
en,30,0.9798138737678528
en,31,0.9785332083702087
en,32,0.9797360301017761
en,33,0.9854774475097656
en,34,0.9882718920707703
en,35,0.9915438890457153
en,36,0.9861603379249573
en,37,0.9884696006774902
en,38,0.987423837184906
en,39,0.9873285293579102
en,40,0.9864166378974915
en,41,0.9846758246421814
en,42,0.7235943675041199
ru,0,0.729293167591095
ru,1,0.9004018306732178
ru,2,0.9932178854942322
ru,3,0.9855939745903015
ru,4,0.9651427268981934
ru,5,0.9646548628807068
ru,6,0.9399201273918152
ru,7,0.9768598675727844
ru,8,0.9694495797157288
ru,9,0.9568486213684082
ru,10,0.9677123427391052
ru,11,0.9711325168609619
ru,12,0.9819156527519226
ru,13,0.9894014596939087
ru,14,0.9901026487350464
ru,15,0.9873583316802979
ru,16,0.9903404116630554
ru,17,0.9821393489837646
ru,18,0.9536208510398865
ru,19,0.9444005489349365
ru,20,0.9498167634010315
ru,21,0.9703857898712158
ru,22,0.9816858172416687
ru,23,0.9546629786491394
ru,24,0.9488231539726257
ru,25,0.9675028920173645
ru,26,0.9736497402191162
ru,27,0.9830169677734375
ru,28,0.9850829243659973
ru,29,0.9887482523918152
ru,30,0.9809018969535828
ru,31,0.9791465401649475
ru,32,0.9806389808654785
ru,33,0.9860700368881226
ru,34,0.9891892075538635
ru,35,0.9918571710586548
ru,36,0.9871988296508789
ru,37,0.9894970655441284
ru,38,0.9890906810760498
ru,39,0.9886154532432556
ru,40,0.9878181219100952
ru,41,0.9861713647842407
ru,42,0.8001939654350281
ky,0,0.7873978018760681
ky,1,0.9196452498435974
ky,2,0.9955207109451294
ky,3,0.9873976707458496
ky,4,0.9721505641937256
ky,5,0.9728380441665649
ky,6,0.95951908826828
ky,7,0.9848938584327698
ky,8,0.9788768291473389
ky,9,0.9703496098518372
ky,10,0.9749200344085693
ky,11,0.97694993019104
ky,12,0.9851129055023193
ky,13,0.9913192987442017
ky,14,0.9921485185623169
ky,15,0.9897142052650452
ky,16,0.9916593432426453
ky,17,0.9851399660110474
ky,18,0.9580535292625427
ky,19,0.9473673701286316
ky,20,0.9559617638587952
ky,21,0.974389910697937
ky,22,0.9861227869987488
ky,23,0.9647610783576965
ky,24,0.9556326270103455
ky,25,0.9734910726547241
ky,26,0.9792082905769348
ky,27,0.9872819185256958
ky,28,0.988828718662262
ky,29,0.9917341470718384
ky,30,0.9851088523864746
ky,31,0.9824602007865906
ky,32,0.9846752285957336
ky,33,0.9890775680541992
ky,34,0.9919393062591553
ky,35,0.9938705563545227
ky,36,0.990953266620636
ky,37,0.9921182990074158
ky,38,0.9918723106384277
ky,39,0.9916438460350037
ky,40,0.9910675883293152
ky,41,0.9895967841148376
ky,42,0.8307414054870605
