lang,layer,acc_mean,acc_std
en,0,0.22635135650634766,0.012640734048817184
en,1,0.32972973585128784,0.03591901570827199
en,2,0.32972973585128784,0.02078183971168927
en,3,0.3337837874889374,0.020427320965649573
en,4,0.3594594717025757,0.014585833900044452
en,5,0.38310810923576355,0.016769830783132083
en,6,0.3614864945411682,0.017489435766931127
en,7,0.36689190864562987,0.015496412981750068
en,8,0.3655405521392822,0.01197300105017298
en,9,0.33378379344940184,0.013580916768428776
en,10,0.33851351737976076,0.029249810045975103
en,11,0.3344594657421112,0.029913442383758523
en,12,0.34121622443199157,0.02945202489651899
en,13,0.35000001192092894,0.02206057926934694
en,14,0.3486486554145813,0.02285342269085907
en,15,0.3344594657421112,0.015846004992946888
en,16,0.31486487984657285,0.009411074397805716
en,17,0.3168918967247009,0.011585421029875318
en,18,0.29662162959575655,0.030547717373576814
en,19,0.2763513565063477,0.011386689523137523
en,20,0.2878378391265869,0.014396802436946523
en,21,0.2804054021835327,0.022713159601127512
en,22,0.2513513505458832,0.029187311067926748
en,23,0.25202702879905703,0.02056097128970175
en,24,0.2702702730894089,0.042087599883574585
en,25,0.2729729861021042,0.03222059423315496
en,26,0.2858108103275299,0.018943030335164493
en,27,0.2777027070522308,0.01842998154425357
en,28,0.2891891896724701,0.011426706763586163
en,29,0.2621621638536453,0.021216645416518645
en,30,0.28175675868988037,0.014269398041573964
en,31,0.31283784508705137,0.022163807782165975
en,32,0.3256756842136383,0.022873393004687576
en,33,0.32229729890823366,0.013945794938119205
en,34,0.3155405521392822,0.026480966270940872
en,35,0.32297298312187195,0.013274925879066502
en,36,0.3716216266155243,0.022204972542576255
en,37,0.3554054141044617,0.02629064933175744
en,38,0.34662163257598877,0.018700479853688657
en,39,0.3554054141044617,0.031066387731609392
en,40,0.37500001192092897,0.03364837877988848
en,41,0.360135143995285,0.030859962145496207
en,42,0.383108115196228,0.01918253096372555
ru,0,0.20540541112422944,0.017410945181806373
ru,1,0.277027028799057,0.02350341731103982
ru,2,0.2858108103275299,0.02560445549226603
ru,3,0.272972971200943,0.02373536456836913
ru,4,0.3202702820301056,0.026806529648585938
ru,5,0.32432432770729064,0.027362774831812306
ru,6,0.3040540635585785,0.03147517337474199
