model,lang,layer,n_train,n_test,acc_claude,acc_human,delta,ci95_low,ci95_high
Gemma 4,RU,7,1378,102,0.5392,0.5392,0.0,0.0,0.0
Gemma 4,KY,4,1378,102,0.4804,0.451,0.0294,-0.049,0.1078
Qwen3,RU,11,1378,102,0.5784,0.5784,0.0,0.0,0.0
Qwen3,KY,9,1378,102,0.5196,0.4804,0.0392,-0.0392,0.1176
Llama 3.1,RU,19,1378,102,0.5,0.4902,0.0098,0.0,0.0294
Llama 3.1,KY,3,1378,102,0.451,0.4314,0.0196,-0.0588,0.098
Mistral,RU,9,1378,102,0.5882,0.5882,0.0,0.0,0.0
Mistral,KY,5,1378,102,0.4412,0.4216,0.0196,-0.049,0.0882
XLM-R,RU,21,1378,102,0.4902,0.4902,0.0,0.0,0.0
XLM-R,KY,14,1378,102,0.5,0.4412,0.0588,-0.0196,0.1373
