model,lang,mean_best_layer,mean_best_layer_norm,mean_acc,last_best_layer,last_best_layer_norm,last_acc,layer_shift,acc_shift
Gemma 4 E4B,EN,0,0.0,0.593,42,1.0,0.383,42,-0.209
Gemma 4 E4B,RU,6,0.14,0.503,7,0.17,0.348,1,-0.155
Gemma 4 E4B,KY,4,0.1,0.459,7,0.17,0.312,3,-0.147
Qwen3-8B,EN,9,0.25,0.614,36,1.0,0.476,27,-0.139
Qwen3-8B,RU,11,0.31,0.593,35,0.97,0.447,24,-0.145
Qwen3-8B,KY,27,0.75,0.478,11,0.31,0.374,-16,-0.103
Llama-3.1-8B,EN,1,0.03,0.626,28,0.88,0.472,27,-0.154
Llama-3.1-8B,RU,7,0.22,0.567,14,0.44,0.474,7,-0.093
Llama-3.1-8B,KY,3,0.09,0.482,16,0.5,0.397,13,-0.085
Mistral-7B-v0.3,EN,5,0.16,0.618,10,0.31,0.473,5,-0.145
Mistral-7B-v0.3,RU,9,0.28,0.561,17,0.53,0.455,8,-0.106
Mistral-7B-v0.3,KY,2,0.06,0.451,32,1.0,0.336,30,-0.114
