src,tgt,layer,transfer_acc
en,ru,0,0.23445945978164673
en,ru,1,0.329054057598114
en,ru,2,0.38986486196517944
en,ru,3,0.4472973048686981
en,ru,4,0.5560811161994934
en,ru,5,0.6594594717025757
en,ru,6,0.6736486554145813
en,ru,7,0.7013513445854187
en,ru,8,0.7202702760696411
en,ru,9,0.728378415107727
en,ru,10,0.716891884803772
en,ru,11,0.7310811281204224
en,ru,12,0.7432432770729065
en,ru,13,0.7270270586013794
en,ru,14,0.6891891956329346
en,ru,15,0.741216242313385
en,ru,16,0.6824324727058411
en,ru,17,0.7128378748893738
en,ru,18,0.6891891956329346
en,ru,19,0.699999988079071
en,ru,20,0.6972973346710205
en,ru,21,0.6398648619651794
en,ru,22,0.6540540456771851
en,ru,23,0.5986486673355103
en,ru,24,0.5479729771614075
en,ru,25,0.5324324369430542
en,ru,26,0.3499999940395355
en,ru,27,0.3729729950428009
en,ru,28,0.4168919026851654
en,ru,29,0.40405407547950745
en,ru,30,0.5202702879905701
en,ru,31,0.41283783316612244
en,ru,32,0.42905405163764954
en,ky,0,0.18175676465034485
en,ky,1,0.18918919563293457
en,ky,2,0.21216216683387756
en,ky,3,0.20067568123340607
en,ky,4,0.1783783882856369
en,ky,5,0.22500000894069672
en,ky,6,0.3121621608734131
en,ky,7,0.32500001788139343
en,ky,8,0.3560810983181
en,ky,9,0.306081086397171
en,ky,10,0.41081082820892334
en,ky,11,0.37364864349365234
en,ky,12,0.3641892075538635
en,ky,13,0.3682432472705841
en,ky,14,0.38783785700798035
en,ky,15,0.3243243396282196
en,ky,16,0.3472973108291626
en,ky,17,0.29054054617881775
en,ky,18,0.25608107447624207
en,ky,19,0.2824324369430542
en,ky,20,0.22500000894069672
en,ky,21,0.18783783912658691
en,ky,22,0.21216216683387756
en,ky,23,0.19324325025081635
en,ky,24,0.19527027010917664
en,ky,25,0.18445946276187897
en,ky,26,0.1966216266155243
en,ky,27,0.20337837934494019
en,ky,28,0.18378378450870514
en,ky,29,0.1918918937444687
en,ky,30,0.19391892850399017
en,ky,31,0.19391892850399017
en,ky,32,0.18581081926822662
ru,en,0,0.2621621787548065
ru,en,1,0.32027027010917664
ru,en,2,0.37905406951904297
ru,en,3,0.5364865064620972
ru,en,4,0.6736486554145813
ru,en,5,0.6594594717025757
ru,en,6,0.6513513922691345
ru,en,7,0.7175675630569458
ru,en,8,0.7216216325759888
ru,en,9,0.7135135531425476
ru,en,10,0.6932432651519775
ru,en,11,0.7229729890823364
ru,en,12,0.7148649096488953
ru,en,13,0.7520270347595215
ru,en,14,0.728378415107727
ru,en,15,0.7567567825317383
ru,en,16,0.7695946097373962
ru,en,17,0.7648648619651794
ru,en,18,0.7209459543228149
ru,en,19,0.7114865183830261
ru,en,20,0.7074324488639832
ru,en,21,0.6614865064620972
ru,en,22,0.6297297477722168
ru,en,23,0.6000000238418579
ru,en,24,0.6108108162879944
ru,en,25,0.5554054379463196
ru,en,26,0.6168919205665588
ru,en,27,0.5824324488639832
ru,en,28,0.4675675928592682
ru,en,29,0.4729729890823364
ru,en,30,0.47364866733551025
ru,en,31,0.4560810923576355
ru,en,32,0.42229729890823364
ru,ky,0,0.2155405431985855
ru,ky,1,0.2385135143995285
ru,ky,2,0.2452702820301056
ru,ky,3,0.24459460377693176
ru,ky,4,0.26081082224845886
ru,ky,5,0.2797297239303589
ru,ky,6,0.2317567616701126
ru,ky,7,0.272972971200943
ru,ky,8,0.33445945382118225
ru,ky,9,0.34121623635292053
ru,ky,10,0.42027029395103455
ru,ky,11,0.36689189076423645
ru,ky,12,0.37635135650634766
ru,ky,13,0.33648648858070374
ru,ky,14,0.35067567229270935
ru,ky,15,0.25135135650634766
ru,ky,16,0.3499999940395355
ru,ky,17,0.2432432472705841
ru,ky,18,0.27635136246681213
ru,ky,19,0.2635135054588318
ru,ky,20,0.27229729294776917
ru,ky,21,0.2364864945411682
ru,ky,22,0.24662162363529205
ru,ky,23,0.22500000894069672
ru,ky,24,0.20472973585128784
ru,ky,25,0.20945946872234344
ru,ky,26,0.2364864945411682
ru,ky,27,0.22635135054588318
ru,ky,28,0.2202702760696411
ru,ky,29,0.2222972959280014
ru,ky,30,0.204054057598114
ru,ky,31,0.2081081122159958
ru,ky,32,0.19391892850399017
ky,en,0,0.19864864647388458
ky,en,1,0.18445946276187897
ky,en,2,0.22364865243434906
ky,en,3,0.21689189970493317
ky,en,4,0.24932433664798737
ky,en,5,0.3425675630569458
ky,en,6,0.3864865005016327
