model,pooling,lang,variant,d50,auc
llama,mean,ru,A,0.969,0.895
llama,mean,ru,B,0.969,0.895
llama,mean,ru,C,0.969,0.784
llama,mean,ky,A,0.969,0.735
llama,mean,ky,B,0.969,0.735
llama,mean,ky,C,0.969,0.664
llama,lasttok,ru,A,0.969,0.846
llama,lasttok,ru,B,0.969,0.846
llama,lasttok,ky,A,0.969,0.803
llama,lasttok,ky,B,0.969,0.803
qwen3,mean,ru,A,0.639,0.237
qwen3,mean,ru,B,0.639,0.237
qwen3,mean,ru,C,0.639,0.202
qwen3,mean,ky,A,0.861,0.619
qwen3,mean,ky,B,0.861,0.619
qwen3,mean,ky,C,0.833,0.532
qwen3,lasttok,ru,A,0.917,0.595
qwen3,lasttok,ru,B,0.917,0.595
qwen3,lasttok,ky,A,0.917,0.781
qwen3,lasttok,ky,B,0.917,0.781
mistral,mean,ru,A,0.75,0.511
mistral,mean,ru,B,0.75,0.511
mistral,mean,ru,C,0.75,0.424
mistral,mean,ky,A,0.969,0.771
mistral,mean,ky,B,0.969,0.771
mistral,mean,ky,C,0.938,0.617
mistral,lasttok,ru,A,0.969,0.745
mistral,lasttok,ru,B,0.969,0.745
mistral,lasttok,ky,A,0.969,0.834
mistral,lasttok,ky,B,0.969,0.834
