model,lang,layer,layer_frac,p_en,p_cyr,p_other
llama,en,0,0.0,0.849,0.0323,0.1187
llama,en,1,0.0312,0.7702,0.0318,0.198
llama,en,2,0.0625,0.573,0.0,0.427
llama,en,3,0.0938,0.582,0.0008,0.4172
llama,en,4,0.125,0.5847,0.0007,0.4147
llama,en,5,0.1562,0.5722,0.0013,0.4265
llama,en,6,0.1875,0.601,0.001,0.398
llama,en,7,0.2188,0.618,0.0022,0.3798
llama,en,8,0.25,0.5945,0.0033,0.4022
llama,en,9,0.2812,0.5763,0.0012,0.4225
llama,en,10,0.3125,0.6067,0.0013,0.392
llama,en,11,0.3438,0.6133,0.001,0.3857
llama,en,12,0.375,0.6353,0.0013,0.3633
llama,en,13,0.4062,0.6403,0.001,0.3587
llama,en,14,0.4375,0.6568,0.0017,0.3415
llama,en,15,0.4688,0.6058,0.0003,0.3938
llama,en,16,0.5,0.6175,0.0025,0.38
llama,en,17,0.5312,0.6733,0.0045,0.3222
llama,en,18,0.5625,0.673,0.0055,0.3215
llama,en,19,0.5938,0.6948,0.0072,0.298
llama,en,20,0.625,0.7403,0.0068,0.2528
llama,en,21,0.6562,0.7608,0.0098,0.2293
llama,en,22,0.6875,0.781,0.0102,0.2088
llama,en,23,0.7188,0.7952,0.0097,0.1952
llama,en,24,0.75,0.8332,0.009,0.1578
llama,en,25,0.7812,0.866,0.0045,0.1295
llama,en,26,0.8125,0.8883,0.0072,0.1045
llama,en,27,0.8438,0.9112,0.005,0.0838
llama,en,28,0.875,0.9072,0.0067,0.0862
llama,en,29,0.9062,0.8898,0.01,0.1002
llama,en,30,0.9375,0.9198,0.0038,0.0763
llama,en,31,0.9688,0.9003,0.0072,0.0925
llama,en,32,1.0,0.7697,0.0,0.2303
llama,ru,0,0.0,0.8503,0.0258,0.1238
llama,ru,1,0.0312,0.8323,0.0153,0.1523
llama,ru,2,0.0625,0.5767,0.0,0.4233
llama,ru,3,0.0938,0.5917,0.0,0.4083
llama,ru,4,0.125,0.5817,0.0,0.4183
llama,ru,5,0.1562,0.5485,0.0,0.4515
llama,ru,6,0.1875,0.602,0.0005,0.3975
llama,ru,7,0.2188,0.6282,0.0003,0.3715
llama,ru,8,0.25,0.6302,0.0015,0.3683
llama,ru,9,0.2812,0.626,0.0055,0.3685
llama,ru,10,0.3125,0.6758,0.005,0.3192
llama,ru,11,0.3438,0.7092,0.0055,0.2853
llama,ru,12,0.375,0.7343,0.0035,0.2622
llama,ru,13,0.4062,0.7245,0.0025,0.273
llama,ru,14,0.4375,0.7222,0.0073,0.2705
llama,ru,15,0.4688,0.6292,0.0068,0.364
llama,ru,16,0.5,0.6963,0.0063,0.2973
llama,ru,17,0.5312,0.7217,0.0097,0.2687
llama,ru,18,0.5625,0.7728,0.0132,0.214
llama,ru,19,0.5938,0.7955,0.0182,0.1863
llama,ru,20,0.625,0.8292,0.0223,0.1485
llama,ru,21,0.6562,0.8403,0.0315,0.1282
llama,ru,22,0.6875,0.8377,0.0313,0.131
llama,ru,23,0.7188,0.8475,0.042,0.1105
llama,ru,24,0.75,0.8778,0.0347,0.0875
llama,ru,25,0.7812,0.8928,0.0195,0.0877
llama,ru,26,0.8125,0.906,0.0262,0.0678
llama,ru,27,0.8438,0.9082,0.0335,0.0583
llama,ru,28,0.875,0.9057,0.0458,0.0485
llama,ru,29,0.9062,0.9167,0.0453,0.038
llama,ru,30,0.9375,0.893,0.053,0.054
llama,ru,31,0.9688,0.2918,0.6675,0.0407
llama,ru,32,1.0,0.0008,0.5513,0.4478
llama,ky,0,0.0,0.893,0.0195,0.0875
llama,ky,1,0.0312,0.7785,0.0225,0.199
llama,ky,2,0.0625,0.5652,0.0,0.4348
llama,ky,3,0.0938,0.6185,0.0003,0.3812
llama,ky,4,0.125,0.601,0.0002,0.3988
llama,ky,5,0.1562,0.6083,0.0038,0.3878
llama,ky,6,0.1875,0.683,0.0093,0.3077
llama,ky,7,0.2188,0.7408,0.0073,0.2518
llama,ky,8,0.25,0.7225,0.007,0.2705
llama,ky,9,0.2812,0.7412,0.0143,0.2445
llama,ky,10,0.3125,0.8025,0.0277,0.1698
llama,ky,11,0.3438,0.8022,0.0457,0.1522
llama,ky,12,0.375,0.8287,0.0552,0.1162
llama,ky,13,0.4062,0.8507,0.019,0.1303
llama,ky,14,0.4375,0.8318,0.0182,0.15
llama,ky,15,0.4688,0.7828,0.0715,0.1457
llama,ky,16,0.5,0.809,0.0635,0.1275
llama,ky,17,0.5312,0.8465,0.0693,0.0842
llama,ky,18,0.5625,0.8493,0.0688,0.0818
llama,ky,19,0.5938,0.8152,0.118,0.0668
llama,ky,20,0.625,0.8133,0.1302,0.0565
llama,ky,21,0.6562,0.8242,0.1143,0.0615
llama,ky,22,0.6875,0.7862,0.141,0.0728
llama,ky,23,0.7188,0.746,0.1378,0.1162
llama,ky,24,0.75,0.7633,0.1035,0.1332
llama,ky,25,0.7812,0.6967,0.186,0.1173
llama,ky,26,0.8125,0.6767,0.222,0.1013
llama,ky,27,0.8438,0.6445,0.2532,0.1023
llama,ky,28,0.875,0.5763,0.3115,0.1122
llama,ky,29,0.9062,0.5712,0.3218,0.107
llama,ky,30,0.9375,0.5032,0.3647,0.1322
llama,ky,31,0.9688,0.1487,0.7375,0.1138
llama,ky,32,1.0,0.0,0.7008,0.2992
