model,lang,layer,layer_frac,p_en,p_cyr,p_other
llama,ru,0,0.0,0.8335,0.0307,0.1358
llama,ru,1,0.0312,0.8217,0.0365,0.1418
llama,ru,2,0.0625,0.8307,0.0315,0.1378
llama,ru,3,0.0938,0.819,0.0312,0.1498
llama,ru,4,0.125,0.8147,0.0413,0.144
llama,ru,5,0.1562,0.8158,0.0353,0.1488
llama,ru,6,0.1875,0.8115,0.036,0.1525
llama,ru,7,0.2188,0.8192,0.0348,0.146
llama,ru,8,0.25,0.827,0.0363,0.1367
llama,ru,9,0.2812,0.8188,0.0375,0.1437
llama,ru,10,0.3125,0.8265,0.031,0.1425
llama,ru,11,0.3438,0.8198,0.0348,0.1453
llama,ru,12,0.375,0.817,0.031,0.152
llama,ru,13,0.4062,0.8252,0.0362,0.1387
llama,ru,14,0.4375,0.8207,0.0308,0.1485
llama,ru,15,0.4688,0.8143,0.0413,0.1443
llama,ru,16,0.5,0.8132,0.0355,0.1513
llama,ru,17,0.5312,0.8235,0.0295,0.147
llama,ru,18,0.5625,0.8098,0.0352,0.155
llama,ru,19,0.5938,0.8238,0.033,0.1432
llama,ru,20,0.625,0.8042,0.0365,0.1593
llama,ru,21,0.6562,0.8228,0.0353,0.1418
llama,ru,22,0.6875,0.8257,0.033,0.1413
llama,ru,23,0.7188,0.8172,0.0397,0.1432
llama,ru,24,0.75,0.8253,0.0323,0.1423
llama,ru,25,0.7812,0.8223,0.0307,0.147
llama,ru,26,0.8125,0.8145,0.0362,0.1493
llama,ru,27,0.8438,0.8298,0.0315,0.1387
llama,ru,28,0.875,0.834,0.0332,0.1328
llama,ru,29,0.9062,0.8325,0.0288,0.1387
llama,ru,30,0.9375,0.8288,0.0322,0.139
llama,ru,31,0.9688,0.8255,0.028,0.1465
llama,ru,32,1.0,0.83,0.0313,0.1387
llama,ky,0,0.0,0.8263,0.0302,0.1435
llama,ky,1,0.0312,0.8343,0.0312,0.1345
llama,ky,2,0.0625,0.8197,0.0317,0.1487
llama,ky,3,0.0938,0.8098,0.0357,0.1545
llama,ky,4,0.125,0.8242,0.0318,0.144
llama,ky,5,0.1562,0.8163,0.0317,0.152
llama,ky,6,0.1875,0.8157,0.0342,0.1502
llama,ky,7,0.2188,0.8177,0.0332,0.1492
llama,ky,8,0.25,0.8172,0.0335,0.1493
llama,ky,9,0.2812,0.8165,0.0365,0.147
llama,ky,10,0.3125,0.8243,0.0335,0.1422
llama,ky,11,0.3438,0.8208,0.0315,0.1477
llama,ky,12,0.375,0.8062,0.0385,0.1553
llama,ky,13,0.4062,0.8217,0.034,0.1443
llama,ky,14,0.4375,0.8133,0.0302,0.1565
llama,ky,15,0.4688,0.8072,0.0368,0.156
llama,ky,16,0.5,0.8155,0.0363,0.1482
llama,ky,17,0.5312,0.8232,0.037,0.1398
llama,ky,18,0.5625,0.8117,0.0353,0.153
llama,ky,19,0.5938,0.8098,0.0397,0.1505
llama,ky,20,0.625,0.815,0.0325,0.1525
llama,ky,21,0.6562,0.8208,0.0345,0.1447
llama,ky,22,0.6875,0.8097,0.0368,0.1535
llama,ky,23,0.7188,0.8112,0.041,0.1478
llama,ky,24,0.75,0.8197,0.0332,0.1472
llama,ky,25,0.7812,0.8212,0.0317,0.1472
llama,ky,26,0.8125,0.8265,0.034,0.1395
llama,ky,27,0.8438,0.822,0.0323,0.1457
llama,ky,28,0.875,0.8203,0.033,0.1467
llama,ky,29,0.9062,0.8295,0.0333,0.1372
llama,ky,30,0.9375,0.8242,0.0333,0.1425
llama,ky,31,0.9688,0.8205,0.031,0.1485
llama,ky,32,1.0,0.825,0.0302,0.1448
