model,lang,layer,layer_frac,p_en,p_cyr,p_other
mistral,en,0,0.0,0.8938,0.042,0.0642
mistral,en,1,0.0312,0.9072,0.0422,0.0507
mistral,en,2,0.0625,0.9017,0.0513,0.047
mistral,en,3,0.0938,0.9017,0.0528,0.0455
mistral,en,4,0.125,0.8995,0.0547,0.0458
mistral,en,5,0.1562,0.905,0.0603,0.0347
mistral,en,6,0.1875,0.9065,0.0572,0.0363
mistral,en,7,0.2188,0.9213,0.0612,0.0175
mistral,en,8,0.25,0.9198,0.0528,0.0273
mistral,en,9,0.2812,0.9082,0.0565,0.0353
mistral,en,10,0.3125,0.9232,0.0537,0.0232
mistral,en,11,0.3438,0.9235,0.0542,0.0223
mistral,en,12,0.375,0.9162,0.0578,0.026
mistral,en,13,0.4062,0.9135,0.0585,0.028
mistral,en,14,0.4375,0.9095,0.0585,0.032
mistral,en,15,0.4688,0.8992,0.062,0.0388
mistral,en,16,0.5,0.8992,0.0622,0.0387
mistral,en,17,0.5312,0.8845,0.0687,0.0468
mistral,en,18,0.5625,0.8888,0.0667,0.0445
mistral,en,19,0.5938,0.893,0.0598,0.0472
mistral,en,20,0.625,0.9227,0.0357,0.0417
mistral,en,21,0.6562,0.9285,0.0325,0.039
mistral,en,22,0.6875,0.9292,0.0283,0.0425
mistral,en,23,0.7188,0.9265,0.0242,0.0493
mistral,en,24,0.75,0.9172,0.0188,0.064
mistral,en,25,0.7812,0.917,0.0135,0.0695
mistral,en,26,0.8125,0.9087,0.0115,0.0798
mistral,en,27,0.8438,0.8842,0.0097,0.1062
mistral,en,28,0.875,0.8395,0.0065,0.154
mistral,en,29,0.9062,0.7485,0.0037,0.2478
mistral,en,30,0.9375,0.7292,0.0005,0.2703
mistral,en,31,0.9688,0.7602,0.0,0.2398
mistral,en,32,1.0,0.8838,0.0,0.1162
mistral,ru,0,0.0,0.9153,0.0193,0.0653
mistral,ru,1,0.0312,0.9377,0.0078,0.0545
mistral,ru,2,0.0625,0.8957,0.0633,0.041
mistral,ru,3,0.0938,0.915,0.0537,0.0313
mistral,ru,4,0.125,0.9113,0.0623,0.0263
mistral,ru,5,0.1562,0.9245,0.0612,0.0143
mistral,ru,6,0.1875,0.9193,0.0635,0.0172
mistral,ru,7,0.2188,0.9363,0.0502,0.0135
mistral,ru,8,0.25,0.9557,0.0295,0.0148
mistral,ru,9,0.2812,0.9633,0.0265,0.0102
mistral,ru,10,0.3125,0.9737,0.018,0.0083
mistral,ru,11,0.3438,0.9647,0.016,0.0193
mistral,ru,12,0.375,0.9462,0.0245,0.0293
mistral,ru,13,0.4062,0.9523,0.0182,0.0295
mistral,ru,14,0.4375,0.9195,0.0243,0.0562
mistral,ru,15,0.4688,0.867,0.0188,0.1142
mistral,ru,16,0.5,0.8758,0.021,0.1032
mistral,ru,17,0.5312,0.8513,0.0195,0.1292
mistral,ru,18,0.5625,0.813,0.0352,0.1518
mistral,ru,19,0.5938,0.6637,0.0877,0.2487
mistral,ru,20,0.625,0.6632,0.1348,0.202
mistral,ru,21,0.6562,0.5855,0.2235,0.191
mistral,ru,22,0.6875,0.5598,0.261,0.1792
mistral,ru,23,0.7188,0.5857,0.2662,0.1482
mistral,ru,24,0.75,0.4107,0.4808,0.1085
mistral,ru,25,0.7812,0.4017,0.4927,0.1057
mistral,ru,26,0.8125,0.3398,0.5393,0.1208
mistral,ru,27,0.8438,0.1627,0.6913,0.146
mistral,ru,28,0.875,0.1008,0.762,0.1372
mistral,ru,29,0.9062,0.0883,0.6917,0.22
mistral,ru,30,0.9375,0.1252,0.4793,0.3955
mistral,ru,31,0.9688,0.0147,0.7045,0.2808
mistral,ru,32,1.0,0.0003,0.8757,0.124
mistral,ky,0,0.0,0.9223,0.0232,0.0545
mistral,ky,1,0.0312,0.9422,0.0047,0.0532
mistral,ky,2,0.0625,0.8828,0.0692,0.048
mistral,ky,3,0.0938,0.9207,0.0518,0.0275
mistral,ky,4,0.125,0.9117,0.0553,0.033
mistral,ky,5,0.1562,0.9365,0.0553,0.0082
mistral,ky,6,0.1875,0.9327,0.0568,0.0105
mistral,ky,7,0.2188,0.9518,0.046,0.0022
mistral,ky,8,0.25,0.9737,0.0202,0.0062
mistral,ky,9,0.2812,0.9505,0.0178,0.0317
mistral,ky,10,0.3125,0.9413,0.0117,0.047
mistral,ky,11,0.3438,0.9622,0.0115,0.0263
mistral,ky,12,0.375,0.9425,0.0123,0.0452
mistral,ky,13,0.4062,0.9617,0.0087,0.0297
mistral,ky,14,0.4375,0.9533,0.006,0.0407
mistral,ky,15,0.4688,0.9323,0.0053,0.0623
mistral,ky,16,0.5,0.9107,0.0038,0.0855
mistral,ky,17,0.5312,0.8863,0.0038,0.1098
mistral,ky,18,0.5625,0.8378,0.0172,0.145
mistral,ky,19,0.5938,0.8102,0.0088,0.181
mistral,ky,20,0.625,0.6875,0.033,0.2795
mistral,ky,21,0.6562,0.7127,0.0698,0.2175
mistral,ky,22,0.6875,0.7078,0.0847,0.2075
mistral,ky,23,0.7188,0.718,0.0705,0.2115
mistral,ky,24,0.75,0.6642,0.1428,0.193
mistral,ky,25,0.7812,0.6968,0.1362,0.167
mistral,ky,26,0.8125,0.6525,0.1187,0.2288
mistral,ky,27,0.8438,0.5825,0.1823,0.2352
mistral,ky,28,0.875,0.5203,0.3078,0.1718
mistral,ky,29,0.9062,0.5857,0.294,0.1203
mistral,ky,30,0.9375,0.3545,0.2217,0.4238
mistral,ky,31,0.9688,0.0253,0.7068,0.2678
mistral,ky,32,1.0,0.0,0.9222,0.0778
