model,lang,layer,layer_frac,p_en,p_cyr,p_other
mistral,ru,0,0.0,0.9297,0.023,0.0473
mistral,ru,1,0.0312,0.9177,0.026,0.0563
mistral,ru,2,0.0625,0.8927,0.0287,0.0787
mistral,ru,3,0.0938,0.8883,0.0308,0.0808
mistral,ru,4,0.125,0.8983,0.0303,0.0713
mistral,ru,5,0.1562,0.8925,0.0283,0.0792
mistral,ru,6,0.1875,0.8992,0.0302,0.0707
mistral,ru,7,0.2188,0.8948,0.0237,0.0815
mistral,ru,8,0.25,0.8942,0.0268,0.079
mistral,ru,9,0.2812,0.9043,0.0287,0.067
mistral,ru,10,0.3125,0.8893,0.0305,0.0802
mistral,ru,11,0.3438,0.8923,0.0322,0.0755
mistral,ru,12,0.375,0.9015,0.029,0.0695
mistral,ru,13,0.4062,0.8942,0.0275,0.0783
mistral,ru,14,0.4375,0.893,0.0302,0.0768
mistral,ru,15,0.4688,0.9003,0.0328,0.0668
mistral,ru,16,0.5,0.899,0.0315,0.0695
mistral,ru,17,0.5312,0.8963,0.031,0.0727
mistral,ru,18,0.5625,0.899,0.0278,0.0732
mistral,ru,19,0.5938,0.903,0.0292,0.0678
mistral,ru,20,0.625,0.9053,0.0295,0.0652
mistral,ru,21,0.6562,0.9178,0.0243,0.0578
mistral,ru,22,0.6875,0.9087,0.0283,0.063
mistral,ru,23,0.7188,0.9092,0.0292,0.0617
mistral,ru,24,0.75,0.9078,0.0268,0.0653
mistral,ru,25,0.7812,0.9108,0.0255,0.0637
mistral,ru,26,0.8125,0.9063,0.0293,0.0643
mistral,ru,27,0.8438,0.9138,0.0285,0.0577
mistral,ru,28,0.875,0.9148,0.0283,0.0568
mistral,ru,29,0.9062,0.9207,0.0268,0.0525
mistral,ru,30,0.9375,0.9178,0.0248,0.0573
mistral,ru,31,0.9688,0.9195,0.0257,0.0548
mistral,ru,32,1.0,0.9097,0.0283,0.062
mistral,ky,0,0.0,0.9247,0.027,0.0483
mistral,ky,1,0.0312,0.929,0.0222,0.0488
mistral,ky,2,0.0625,0.9023,0.0268,0.0708
mistral,ky,3,0.0938,0.899,0.0322,0.0688
mistral,ky,4,0.125,0.8958,0.028,0.0762
mistral,ky,5,0.1562,0.892,0.0308,0.0772
mistral,ky,6,0.1875,0.896,0.0293,0.0747
mistral,ky,7,0.2188,0.8902,0.0323,0.0775
mistral,ky,8,0.25,0.8913,0.032,0.0767
mistral,ky,9,0.2812,0.8857,0.0345,0.0798
mistral,ky,10,0.3125,0.9012,0.0273,0.0715
mistral,ky,11,0.3438,0.8943,0.0288,0.0768
mistral,ky,12,0.375,0.9025,0.026,0.0715
mistral,ky,13,0.4062,0.9017,0.028,0.0703
mistral,ky,14,0.4375,0.8997,0.032,0.0683
mistral,ky,15,0.4688,0.9025,0.0257,0.0718
mistral,ky,16,0.5,0.9035,0.0303,0.0662
mistral,ky,17,0.5312,0.8942,0.031,0.0748
mistral,ky,18,0.5625,0.8992,0.0283,0.0725
mistral,ky,19,0.5938,0.9123,0.025,0.0627
mistral,ky,20,0.625,0.9172,0.0258,0.057
mistral,ky,21,0.6562,0.9098,0.0302,0.06
mistral,ky,22,0.6875,0.9217,0.0233,0.055
mistral,ky,23,0.7188,0.9075,0.0245,0.068
mistral,ky,24,0.75,0.9157,0.0275,0.0568
mistral,ky,25,0.7812,0.9165,0.0248,0.0587
mistral,ky,26,0.8125,0.9193,0.0247,0.056
mistral,ky,27,0.8438,0.916,0.0278,0.0562
mistral,ky,28,0.875,0.9122,0.0303,0.0575
mistral,ky,29,0.9062,0.9213,0.0245,0.0542
mistral,ky,30,0.9375,0.9163,0.0288,0.0548
mistral,ky,31,0.9688,0.9142,0.025,0.0608
mistral,ky,32,1.0,0.9203,0.0252,0.0545
