model,lang,layer,layer_frac,p_en,p_cyr,p_other
qwen3,en,0,0.0,0.2978,0.1138,0.5883
qwen3,en,1,0.0278,0.6922,0.0017,0.3062
qwen3,en,2,0.0556,0.6957,0.0023,0.302
qwen3,en,3,0.0833,0.6693,0.0072,0.3235
qwen3,en,4,0.1111,0.6742,0.0212,0.3047
qwen3,en,5,0.1389,0.7437,0.0542,0.2022
qwen3,en,6,0.1667,0.858,0.01,0.132
qwen3,en,7,0.1944,0.0273,0.0003,0.9723
qwen3,en,8,0.2222,0.0493,0.001,0.9497
qwen3,en,9,0.25,0.09,0.0015,0.9085
qwen3,en,10,0.2778,0.1043,0.0022,0.8935
qwen3,en,11,0.3056,0.1462,0.0025,0.8513
qwen3,en,12,0.3333,0.1682,0.0033,0.8285
qwen3,en,13,0.3611,0.2485,0.0058,0.7457
qwen3,en,14,0.3889,0.3105,0.0112,0.6783
qwen3,en,15,0.4167,0.3565,0.0127,0.6308
qwen3,en,16,0.4444,0.3892,0.0127,0.5982
qwen3,en,17,0.4722,0.4108,0.0127,0.5765
qwen3,en,18,0.5,0.4798,0.0172,0.503
qwen3,en,19,0.5278,0.5153,0.019,0.4657
qwen3,en,20,0.5556,0.5167,0.0157,0.4677
qwen3,en,21,0.5833,0.5372,0.0165,0.4463
qwen3,en,22,0.6111,0.5723,0.0143,0.4133
qwen3,en,23,0.6389,0.6072,0.0095,0.3833
qwen3,en,24,0.6667,0.6677,0.0095,0.3228
qwen3,en,25,0.6944,0.743,0.0062,0.2508
qwen3,en,26,0.7222,0.7738,0.0047,0.2215
qwen3,en,27,0.75,0.7965,0.0025,0.201
qwen3,en,28,0.7778,0.8583,0.0027,0.139
qwen3,en,29,0.8056,0.8852,0.0023,0.1125
qwen3,en,30,0.8333,0.9103,0.0017,0.088
qwen3,en,31,0.8611,0.9335,0.001,0.0655
qwen3,en,32,0.8889,0.9518,0.0012,0.047
qwen3,en,33,0.9167,0.8495,0.0003,0.1502
qwen3,en,34,0.9444,0.8743,0.0005,0.1252
qwen3,en,35,0.9722,0.7693,0.0,0.2307
qwen3,en,36,1.0,1.0,0.0,0.0
qwen3,ru,0,0.0,0.3797,0.0078,0.6125
qwen3,ru,1,0.0278,0.5173,0.0008,0.4818
qwen3,ru,2,0.0556,0.5633,0.0022,0.4345
qwen3,ru,3,0.0833,0.4577,0.0522,0.4902
qwen3,ru,4,0.1111,0.4322,0.1737,0.3942
qwen3,ru,5,0.1389,0.1467,0.629,0.2243
qwen3,ru,6,0.1667,0.1887,0.6295,0.1818
qwen3,ru,7,0.1944,0.051,0.0068,0.9422
qwen3,ru,8,0.2222,0.0923,0.0127,0.895
qwen3,ru,9,0.25,0.1723,0.0268,0.8008
qwen3,ru,10,0.2778,0.2248,0.034,0.7412
qwen3,ru,11,0.3056,0.2837,0.0495,0.6668
qwen3,ru,12,0.3333,0.35,0.0943,0.5557
qwen3,ru,13,0.3611,0.3928,0.1645,0.4427
qwen3,ru,14,0.3889,0.4278,0.1877,0.3845
qwen3,ru,15,0.4167,0.4762,0.1767,0.3472
qwen3,ru,16,0.4444,0.4975,0.1827,0.3198
qwen3,ru,17,0.4722,0.5278,0.1783,0.2938
qwen3,ru,18,0.5,0.5355,0.2215,0.243
qwen3,ru,19,0.5278,0.6142,0.1852,0.2007
qwen3,ru,20,0.5556,0.5615,0.2547,0.1838
qwen3,ru,21,0.5833,0.6448,0.182,0.1732
qwen3,ru,22,0.6111,0.5027,0.3893,0.108
qwen3,ru,23,0.6389,0.3223,0.5878,0.0898
qwen3,ru,24,0.6667,0.3033,0.6403,0.0563
qwen3,ru,25,0.6944,0.0855,0.8925,0.022
qwen3,ru,26,0.7222,0.0705,0.9135,0.016
qwen3,ru,27,0.75,0.0625,0.9217,0.0158
qwen3,ru,28,0.7778,0.0473,0.9368,0.0158
qwen3,ru,29,0.8056,0.064,0.9133,0.0227
qwen3,ru,30,0.8333,0.0392,0.9363,0.0245
qwen3,ru,31,0.8611,0.0077,0.9848,0.0075
qwen3,ru,32,0.8889,0.0198,0.9707,0.0095
qwen3,ru,33,0.9167,0.0048,0.9908,0.0043
qwen3,ru,34,0.9444,0.0013,0.9958,0.0028
qwen3,ru,35,0.9722,0.0013,0.9877,0.011
qwen3,ru,36,1.0,0.0,1.0,0.0
qwen3,ky,0,0.0,0.4833,0.0037,0.513
qwen3,ky,1,0.0278,0.5755,0.0057,0.4188
qwen3,ky,2,0.0556,0.707,0.0023,0.2907
qwen3,ky,3,0.0833,0.5777,0.0483,0.374
qwen3,ky,4,0.1111,0.3993,0.0733,0.5273
qwen3,ky,5,0.1389,0.2118,0.0982,0.69
qwen3,ky,6,0.1667,0.1537,0.0318,0.8145
qwen3,ky,7,0.1944,0.3263,0.0575,0.6162
qwen3,ky,8,0.2222,0.391,0.0508,0.5582
qwen3,ky,9,0.25,0.4637,0.0327,0.5037
qwen3,ky,10,0.2778,0.5142,0.0472,0.4387
qwen3,ky,11,0.3056,0.5637,0.0408,0.3955
qwen3,ky,12,0.3333,0.5658,0.0392,0.395
qwen3,ky,13,0.3611,0.6532,0.0618,0.285
qwen3,ky,14,0.3889,0.6887,0.0448,0.2665
qwen3,ky,15,0.4167,0.748,0.0345,0.2175
qwen3,ky,16,0.4444,0.7517,0.0355,0.2128
qwen3,ky,17,0.4722,0.7823,0.0365,0.1812
qwen3,ky,18,0.5,0.7918,0.0365,0.1717
qwen3,ky,19,0.5278,0.7902,0.0378,0.172
qwen3,ky,20,0.5556,0.8247,0.032,0.1433
qwen3,ky,21,0.5833,0.8665,0.0248,0.1087
qwen3,ky,22,0.6111,0.86,0.0162,0.1238
