model,lang,layer,layer_frac,p_en,p_cyr,p_other
qwen3,ru,0,0.0,0.6287,0.0138,0.3575
qwen3,ru,1,0.0278,0.6185,0.0188,0.3627
qwen3,ru,2,0.0556,0.6178,0.013,0.3692
qwen3,ru,3,0.0833,0.6278,0.0162,0.356
qwen3,ru,4,0.1111,0.6217,0.013,0.3653
qwen3,ru,5,0.1389,0.6282,0.0122,0.3597
qwen3,ru,6,0.1667,0.6157,0.0145,0.3698
qwen3,ru,7,0.1944,0.6258,0.0165,0.3577
qwen3,ru,8,0.2222,0.6058,0.0142,0.38
qwen3,ru,9,0.25,0.6093,0.0173,0.3733
qwen3,ru,10,0.2778,0.614,0.0172,0.3688
qwen3,ru,11,0.3056,0.6115,0.0167,0.3718
qwen3,ru,12,0.3333,0.6213,0.0155,0.3632
qwen3,ru,13,0.3611,0.606,0.0202,0.3738
qwen3,ru,14,0.3889,0.6143,0.017,0.3687
qwen3,ru,15,0.4167,0.6162,0.0162,0.3677
qwen3,ru,16,0.4444,0.6055,0.015,0.3795
qwen3,ru,17,0.4722,0.621,0.0158,0.3632
qwen3,ru,18,0.5,0.594,0.019,0.387
qwen3,ru,19,0.5278,0.6045,0.019,0.3765
qwen3,ru,20,0.5556,0.6028,0.02,0.3772
qwen3,ru,21,0.5833,0.6093,0.015,0.3757
qwen3,ru,22,0.6111,0.6112,0.0117,0.3772
qwen3,ru,23,0.6389,0.6293,0.0157,0.355
qwen3,ru,24,0.6667,0.6112,0.0153,0.3735
qwen3,ru,25,0.6944,0.6075,0.0155,0.377
qwen3,ru,26,0.7222,0.5995,0.0172,0.3833
qwen3,ru,27,0.75,0.5988,0.0178,0.3833
qwen3,ru,28,0.7778,0.631,0.018,0.351
qwen3,ru,29,0.8056,0.6165,0.0198,0.3637
qwen3,ru,30,0.8333,0.611,0.014,0.375
qwen3,ru,31,0.8611,0.6247,0.0167,0.3587
qwen3,ru,32,0.8889,0.6132,0.0192,0.3677
qwen3,ru,33,0.9167,0.615,0.0178,0.3672
qwen3,ru,34,0.9444,0.6223,0.0168,0.3608
qwen3,ru,35,0.9722,0.624,0.0178,0.3582
qwen3,ru,36,1.0,0.627,0.0158,0.3572
qwen3,ky,0,0.0,0.6245,0.0123,0.3632
qwen3,ky,1,0.0278,0.6143,0.0172,0.3685
qwen3,ky,2,0.0556,0.6218,0.019,0.3592
qwen3,ky,3,0.0833,0.6178,0.015,0.3672
qwen3,ky,4,0.1111,0.6133,0.02,0.3667
qwen3,ky,5,0.1389,0.6287,0.0162,0.3552
qwen3,ky,6,0.1667,0.6302,0.015,0.3548
qwen3,ky,7,0.1944,0.6165,0.0145,0.369
qwen3,ky,8,0.2222,0.612,0.0175,0.3705
qwen3,ky,9,0.25,0.6048,0.0145,0.3807
qwen3,ky,10,0.2778,0.5995,0.02,0.3805
qwen3,ky,11,0.3056,0.615,0.0163,0.3687
qwen3,ky,12,0.3333,0.5995,0.0162,0.3843
qwen3,ky,13,0.3611,0.6275,0.0127,0.3598
qwen3,ky,14,0.3889,0.6212,0.0123,0.3665
qwen3,ky,15,0.4167,0.6052,0.0143,0.3805
qwen3,ky,16,0.4444,0.612,0.0152,0.3728
qwen3,ky,17,0.4722,0.6037,0.015,0.3813
qwen3,ky,18,0.5,0.6072,0.0187,0.3742
qwen3,ky,19,0.5278,0.609,0.0178,0.3732
qwen3,ky,20,0.5556,0.6083,0.0182,0.3735
qwen3,ky,21,0.5833,0.6042,0.0172,0.3787
qwen3,ky,22,0.6111,0.6167,0.021,0.3623
qwen3,ky,23,0.6389,0.6237,0.0175,0.3588
qwen3,ky,24,0.6667,0.6088,0.0135,0.3777
qwen3,ky,25,0.6944,0.6152,0.0167,0.3682
qwen3,ky,26,0.7222,0.6213,0.0153,0.3633
qwen3,ky,27,0.75,0.6088,0.0132,0.378
qwen3,ky,28,0.7778,0.6157,0.0192,0.3652
qwen3,ky,29,0.8056,0.6273,0.0167,0.356
qwen3,ky,30,0.8333,0.6137,0.0153,0.371
qwen3,ky,31,0.8611,0.6232,0.018,0.3588
qwen3,ky,32,0.8889,0.61,0.0167,0.3733
qwen3,ky,33,0.9167,0.6172,0.0188,0.364
qwen3,ky,34,0.9444,0.6298,0.0157,0.3545
qwen3,ky,35,0.9722,0.6082,0.0173,0.3745
qwen3,ky,36,1.0,0.6267,0.0162,0.3572
