layer,cka_en_ru,cka_en_ky,cka_ru_ky
0,0.6897892951965332,0.6114660501480103,0.6533987522125244
1,0.653367817401886,0.5487229228019714,0.5979133248329163
2,0.6747254133224487,0.5872156023979187,0.6415637135505676
3,0.6755495667457581,0.5875552892684937,0.6451776027679443
4,0.6829144358634949,0.6065201163291931,0.6541155576705933
5,0.6892865300178528,0.620908260345459,0.6571875810623169
6,0.6998609900474548,0.61485755443573,0.6303918361663818
7,0.6710348129272461,0.5723215937614441,0.5899134278297424
8,0.6619585752487183,0.5609419941902161,0.5856642723083496
9,0.64689040184021,0.5490606427192688,0.5856778621673584
10,0.6035701036453247,0.507550835609436,0.5494338870048523
11,0.5314304232597351,0.4359627068042755,0.48788708448410034
12,0.5089635848999023,0.3948284983634949,0.4366137683391571
