lang,emotion,layer,ovr_acc
en,anger,0,0.7128378748893738
en,anger,1,0.7229729890823364
en,anger,2,0.7466216683387756
en,anger,3,0.7364864945411682
en,anger,4,0.7297297716140747
en,anger,5,0.7297297716140747
en,anger,6,0.7027027010917664
en,anger,7,0.75
en,anger,8,0.7398648858070374
en,anger,9,0.7466216683387756
en,anger,10,0.7297297716140747
en,anger,11,0.7398648858070374
en,anger,12,0.699324369430542
en,disgust,0,0.7027027010917664
en,disgust,1,0.7432432770729065
en,disgust,2,0.7601351737976074
en,disgust,3,0.7162162065505981
en,disgust,4,0.7364864945411682
en,disgust,5,0.7263513803482056
en,disgust,6,0.7229729890823364
en,disgust,7,0.7702702879905701
en,disgust,8,0.7466216683387756
en,disgust,9,0.75
en,disgust,10,0.7364864945411682
en,disgust,11,0.7466216683387756
en,disgust,12,0.699324369430542
en,fear,0,0.824324369430542
en,fear,1,0.7939189672470093
en,fear,2,0.8277027010917664
en,fear,3,0.7736486792564392
en,fear,4,0.7905405759811401
en,fear,5,0.7668918967247009
en,fear,6,0.787162184715271
en,fear,7,0.7939189672470093
en,fear,8,0.7601351737976074
en,fear,9,0.7533783912658691
en,fear,10,0.7804054021835327
en,fear,11,0.7635135054588318
en,fear,12,0.7804054021835327
en,joy,0,0.7972972989082336
en,joy,1,0.8006756901741028
en,joy,2,0.8209459781646729
en,joy,3,0.8141891956329346
en,joy,4,0.8006756901741028
en,joy,5,0.8040540814399719
en,joy,6,0.7702702879905701
en,joy,7,0.8040540814399719
en,joy,8,0.7736486792564392
en,joy,9,0.8141891956329346
en,joy,10,0.7905405759811401
en,joy,11,0.7905405759811401
en,joy,12,0.7736486792564392
en,sadness,0,0.75
en,sadness,1,0.7162162065505981
en,sadness,2,0.7364864945411682
en,sadness,3,0.7195945978164673
en,sadness,4,0.7060810923576355
en,sadness,5,0.7229729890823364
en,sadness,6,0.7466216683387756
en,sadness,7,0.7432432770729065
en,sadness,8,0.7466216683387756
en,sadness,9,0.6824324727058411
en,sadness,10,0.7432432770729065
en,sadness,11,0.7094594836235046
en,sadness,12,0.6925675868988037
en,surprise,0,0.7432432770729065
en,surprise,1,0.7837837934494019
en,surprise,2,0.7635135054588318
en,surprise,3,0.7702702879905701
en,surprise,4,0.7702702879905701
en,surprise,5,0.7804054021835327
en,surprise,6,0.7668918967247009
en,surprise,7,0.7736486792564392
en,surprise,8,0.7432432770729065
en,surprise,9,0.7398648858070374
en,surprise,10,0.7668918967247009
en,surprise,11,0.8006756901741028
en,surprise,12,0.7297297716140747
ru,anger,0,0.7364864945411682
ru,anger,1,0.7331081032752991
ru,anger,2,0.7466216683387756
