src,tgt,layer,transfer_acc
en,ru,0,0.20337837934494019
en,ru,1,0.18378378450870514
en,ru,2,0.20945946872234344
en,ru,3,0.23986487090587616
en,ru,4,0.23513513803482056
en,ru,5,0.28175675868988037
en,ru,6,0.27702704071998596
en,ru,7,0.3195945918560028
en,ru,8,0.2804054021835327
en,ru,9,0.2587837874889374
en,ru,10,0.2222972959280014
en,ru,11,0.21418920159339905
en,ru,12,0.23986487090587616
en,ky,0,0.19594594836235046
en,ky,1,0.16554054617881775
en,ky,2,0.17297297716140747
en,ky,3,0.19121621549129486
en,ky,4,0.17770271003246307
en,ky,5,0.21959459781646729
en,ky,6,0.204054057598114
en,ky,7,0.21418920159339905
en,ky,8,0.21486486494541168
en,ky,9,0.22094595432281494
en,ky,10,0.20337837934494019
en,ky,11,0.18851351737976074
en,ky,12,0.20067568123340607
ru,en,0,0.20540541410446167
ru,en,1,0.20067568123340607
ru,en,2,0.2587837874889374
ru,en,3,0.2385135143995285
ru,en,4,0.2527027130126953
ru,en,5,0.25608107447624207
ru,en,6,0.2668918967247009
ru,en,7,0.30202704668045044
ru,en,8,0.27229729294776917
ru,en,9,0.28648650646209717
ru,en,10,0.28581082820892334
ru,en,11,0.24864865839481354
ru,en,12,0.24189189076423645
ru,ky,0,0.23040540516376495
ru,ky,1,0.1966216266155243
ru,ky,2,0.20000000298023224
ru,ky,3,0.18716216087341309
ru,ky,4,0.23445945978164673
ru,ky,5,0.22364865243434906
ru,ky,6,0.22972974181175232
ru,ky,7,0.21351352334022522
ru,ky,8,0.19864864647388458
ru,ky,9,0.21351352334022522
ru,ky,10,0.20540541410446167
ru,ky,11,0.2155405431985855
ru,ky,12,0.24729730188846588
ky,en,0,0.17162162065505981
ky,en,1,0.16013513505458832
ky,en,2,0.1689189225435257
ky,en,3,0.18108108639717102
ky,en,4,0.17094595730304718
ky,en,5,0.16554054617881775
ky,en,6,0.17905405163764954
ky,en,7,0.22162163257598877
ky,en,8,0.2385135143995285
ky,en,9,0.21689189970493317
ky,en,10,0.21418920159339905
ky,en,11,0.17972972989082336
ky,en,12,0.19256757199764252
ky,ru,0,0.20540541410446167
ky,ru,1,0.18851351737976074
ky,ru,2,0.19527027010917664
ky,ru,3,0.1783783882856369
ky,ru,4,0.20337837934494019
ky,ru,5,0.21486486494541168
ky,ru,6,0.204054057598114
ky,ru,7,0.23513513803482056
ky,ru,8,0.25405406951904297
ky,ru,9,0.24459460377693176
ky,ru,10,0.24121622741222382
ky,ru,11,0.24932433664798737
ky,ru,12,0.23918919265270233
