src,tgt,layer,transfer_acc
en,ru,0,0.23918919265270233
en,ru,1,0.23986487090587616
en,ru,2,0.22094595432281494
en,ru,3,0.3155405521392822
en,ru,4,0.3932432532310486
en,ru,5,0.47837838530540466
en,ru,6,0.5972973108291626
en,ru,7,0.5689189434051514
en,ru,8,0.5858108401298523
en,ru,9,0.6371621489524841
en,ru,10,0.6216216087341309
en,ru,11,0.6168919205665588
en,ru,12,0.5668919086456299
en,ru,13,0.5648648738861084
en,ru,14,0.6486486792564392
en,ru,15,0.6317567825317383
en,ru,16,0.6777027249336243
en,ru,17,0.5641891956329346
en,ru,18,0.6074324250221252
en,ru,19,0.6209459900856018
en,ru,20,0.5263513922691345
en,ru,21,0.4905405640602112
en,ru,22,0.5229730010032654
en,ru,23,0.46824324131011963
en,ru,24,0.5513513684272766
en,ru,25,0.5060811042785645
en,ru,26,0.48986488580703735
en,ru,27,0.49189189076423645
en,ru,28,0.4885135293006897
en,ru,29,0.48310813307762146
en,ru,30,0.47837838530540466
en,ru,31,0.38783785700798035
en,ru,32,0.352027028799057
en,ky,0,0.1945945918560028
en,ky,1,0.17499999701976776
en,ky,2,0.19391892850399017
en,ky,3,0.21959459781646729
en,ky,4,0.1918918937444687
en,ky,5,0.17432433366775513
en,ky,6,0.19256757199764252
en,ky,7,0.1918918937444687
en,ky,8,0.1756756752729416
en,ky,9,0.1756756752729416
en,ky,10,0.19121621549129486
en,ky,11,0.17905405163764954
en,ky,12,0.17499999701976776
en,ky,13,0.17432433366775513
en,ky,14,0.1831081062555313
en,ky,15,0.21959459781646729
en,ky,16,0.22500000894069672
en,ky,17,0.23108108341693878
en,ky,18,0.22162163257598877
en,ky,19,0.19864864647388458
en,ky,20,0.18918919563293457
en,ky,21,0.22567568719387054
en,ky,22,0.21621622145175934
en,ky,23,0.19594594836235046
en,ky,24,0.2081081122159958
en,ky,25,0.1918918937444687
en,ky,26,0.19527027010917664
en,ky,27,0.1804054081439972
en,ky,28,0.20067568123340607
en,ky,29,0.1804054081439972
en,ky,30,0.1993243247270584
en,ky,31,0.18783783912658691
en,ky,32,0.17094595730304718
ru,en,0,0.2432432472705841
ru,en,1,0.28648650646209717
ru,en,2,0.27027028799057007
ru,en,3,0.39054054021835327
ru,en,4,0.5067567825317383
ru,en,5,0.5506756901741028
ru,en,6,0.583108127117157
ru,en,7,0.6479730010032654
ru,en,8,0.583108127117157
ru,en,9,0.6405405402183533
ru,en,10,0.6418918967247009
ru,en,11,0.6168919205665588
ru,en,12,0.6560810804367065
ru,en,13,0.6263513565063477
ru,en,14,0.6885135173797607
ru,en,15,0.6871621608734131
ru,en,16,0.699324369430542
ru,en,17,0.7277027368545532
ru,en,18,0.7391892075538635
ru,en,19,0.6547297239303589
ru,en,20,0.6425675749778748
ru,en,21,0.6797297596931458
ru,en,22,0.6945946216583252
ru,en,23,0.6520270705223083
ru,en,24,0.6236486434936523
ru,en,25,0.6114864945411682
ru,en,26,0.5952702760696411
ru,en,27,0.5810810923576355
ru,en,28,0.6148648858070374
ru,en,29,0.5195946097373962
ru,en,30,0.5439189076423645
ru,en,31,0.5250000357627869
ru,en,32,0.45540541410446167
ru,ky,0,0.21216216683387756
ru,ky,1,0.20743243396282196
ru,ky,2,0.2128378450870514
ru,ky,3,0.24662162363529205
ru,ky,4,0.2155405431985855
ru,ky,5,0.19729730486869812
ru,ky,6,0.2243243306875229
ru,ky,7,0.21148648858070374
ru,ky,8,0.24256756901741028
ru,ky,9,0.2222972959280014
ru,ky,10,0.22567568719387054
ru,ky,11,0.21216216683387756
ru,ky,12,0.2243243306875229
ru,ky,13,0.2452702820301056
ru,ky,14,0.2668918967247009
ru,ky,15,0.26013514399528503
ru,ky,16,0.24256756901741028
ru,ky,17,0.2452702820301056
ru,ky,18,0.1966216266155243
ru,ky,19,0.25
ru,ky,20,0.2594594657421112
ru,ky,21,0.23243243992328644
ru,ky,22,0.20472973585128784
ru,ky,23,0.21351352334022522
ru,ky,24,0.2128378450870514
ru,ky,25,0.21486486494541168
ru,ky,26,0.20337837934494019
ru,ky,27,0.2290540635585785
ru,ky,28,0.19391892850399017
ru,ky,29,0.2385135143995285
ru,ky,30,0.2243243306875229
ru,ky,31,0.2155405431985855
ru,ky,32,0.22162163257598877
ky,en,0,0.18783783912658691
ky,en,1,0.18783783912658691
ky,en,2,0.23783785104751587
ky,en,3,0.27229729294776917
ky,en,4,0.2891891896724701
ky,en,5,0.27635136246681213
ky,en,6,0.2756756842136383
ky,en,7,0.3081081211566925
ky,en,8,0.29729729890823364
ky,en,9,0.2993243336677551
ky,en,10,0.30472972989082336
ky,en,11,0.26959460973739624
ky,en,12,0.2804054021835327
ky,en,13,0.2594594657421112
ky,en,14,0.2554054260253906
ky,en,15,0.2736486494541168
ky,en,16,0.3168919086456299
ky,en,17,0.28581082820892334
ky,en,18,0.2939189374446869
ky,en,19,0.30202704668045044
ky,en,20,0.28581082820892334
ky,en,21,0.310135155916214
ky,en,22,0.2891891896724701
ky,en,23,0.2844594717025757
ky,en,24,0.2871621549129486
ky,en,25,0.2547297477722168
ky,en,26,0.2574324309825897
ky,en,27,0.23918919265270233
ky,en,28,0.2689189314842224
ky,en,29,0.2736486494541168
ky,en,30,0.28175675868988037
ky,en,31,0.2452702820301056
ky,en,32,0.22770270705223083
ky,ru,0,0.23310811817646027
ky,ru,1,0.23310811817646027
ky,ru,2,0.23445945978164673
ky,ru,3,0.23918919265270233
ky,ru,4,0.2804054021835327
ky,ru,5,0.30878379940986633
ky,ru,6,0.30000001192092896
ky,ru,7,0.3155405521392822
ky,ru,8,0.32094594836235046
ky,ru,9,0.3398648798465729
ky,ru,10,0.3283783793449402
ky,ru,11,0.31418919563293457
ky,ru,12,0.29324325919151306
ky,ru,13,0.310135155916214
ky,ru,14,0.3121621608734131
ky,ru,15,0.31351351737976074
ky,ru,16,0.33040541410446167
ky,ru,17,0.3317567706108093
ky,ru,18,0.33243244886398315
ky,ru,19,0.310135155916214
ky,ru,20,0.3351351320743561
ky,ru,21,0.3168919086456299
ky,ru,22,0.2783783972263336
ky,ru,23,0.27432432770729065
ky,ru,24,0.25608107447624207
ky,ru,25,0.2621621787548065
ky,ru,26,0.25810810923576355
ky,ru,27,0.2662162184715271
ky,ru,28,0.2804054021835327
ky,ru,29,0.2851351499557495
ky,ru,30,0.2682432532310486
ky,ru,31,0.27162161469459534
ky,ru,32,0.25337839126586914
