lang,layer,acc_mean,acc_std
en,0,0.18851352035999297,0.010112590464881414
en,1,0.325000011920929,0.027973304018745183
en,2,0.3628378450870514,0.040348647837376884
en,3,0.3790540635585785,0.02611642513610659
en,4,0.4358108162879944,0.020825719272141423
en,5,0.42500001192092896,0.025764426003740896
en,6,0.462162172794342,0.03150417613850834
en,7,0.4587838053703308,0.027060793237802725
en,8,0.4547297418117523,0.0212166491180065
en,9,0.4614864945411682,0.018079849226438335
en,10,0.47297297716140746,0.012086851726106787
en,11,0.4486486554145813,0.014396812227793323
en,12,0.4385135233402252,0.016328442611348006
en,13,0.42837839126586913,0.023151136678845455
en,14,0.4486486613750458,0.018553422697983067
en,15,0.4432432532310486,0.01830570206675061
en,16,0.4452702820301056,0.019745459657663087
en,17,0.47027028203010557,0.01575932925213835
en,18,0.44256757497787474,0.014956720518713322
en,19,0.4614865005016327,0.008963855326187506
en,20,0.44662163257598875,0.018180573497585322
en,21,0.4506756901741028,0.020781829440743384
en,22,0.44391892552375795,0.015048014597962244
en,23,0.4472973108291626,0.01564302536047379
en,24,0.4574324548244476,0.011225166432045502
en,25,0.4635135293006897,0.009165312355641575
en,26,0.4472973108291626,0.014585831691140225
en,27,0.4554054200649261,0.01974545537444195
en,28,0.4662162303924561,0.01923006900327274
en,29,0.4709459602832794,0.018330615263931097
en,30,0.46418920159339905,0.010379929423236872
en,31,0.4668919086456299,0.009650586976725755
en,32,0.4689189314842224,0.015017635875120394
ru,0,0.20878379046916962,0.01501764405442546
ru,1,0.25000000596046446,0.018003934154988178
ru,2,0.2574324429035187,0.019158713191402103
ru,3,0.2695946037769318,0.012712767385683008
ru,4,0.3074324369430542,0.019110998500152788
ru,5,0.3364864945411682,0.02622109150305883
ru,6,0.4108108222484589,0.029498483994930016
ru,7,0.41418919563293455,0.015932200605578383
ru,8,0.4222973108291626,0.01825575713193775
ru,9,0.4236486554145813,0.025063833775954728
ru,10,0.42972974181175233,0.01604640870055791
ru,11,0.43986487984657285,0.015017639093207233
ru,12,0.42364866733551027,0.022266567315340453
ru,13,0.43040541410446165,0.014269400299464633
ru,14,0.43783784508705137,0.01743714119230834
ru,15,0.4243243336677551,0.007879669226022422
ru,16,0.4412162244319916,0.02497259331683546
ru,17,0.45540541410446167,0.02797329811593931
ru,18,0.4439189374446869,0.01807984699890941
ru,19,0.4486486554145813,0.022953096473644168
ru,20,0.42702704668045044,0.01361448631018766
ru,21,0.42770270705223085,0.03115444248038665
ru,22,0.42770270705223085,0.018454733734579988
ru,23,0.43040541410446165,0.015788269445364992
ru,24,0.42094595432281495,0.025154748416135186
ru,25,0.4114864945411682,0.028297823839988606
ru,26,0.4162162244319916,0.013066946212722997
ru,27,0.4236486554145813,0.03003528810885092
ru,28,0.41351352334022523,0.022368843267206243
ru,29,0.4175675868988037,0.021108782727379535
ru,30,0.4405405521392822,0.023170846926442935
ru,31,0.42094595432281495,0.029652848570809746
ru,32,0.4310810923576355,0.016216217726470666
ky,0,0.19189189672470092,0.025045613304178534
ky,1,0.2898648679256439,0.022039865351375084
ky,2,0.29662162959575655,0.03214967113691363
ky,3,0.2959459513425827,0.03598250829402294
ky,4,0.304054057598114,0.024361834952895296
ky,5,0.3033783853054047,0.03374321656069869
ky,6,0.3222973048686981,0.02587052570494891
ky,7,0.304054057598114,0.006410024746336379
ky,8,0.2898648738861084,0.008652869157086584
ky,9,0.2756756842136383,0.019768563993533023
ky,10,0.27432432770729065,0.0195128741706625
ky,11,0.2756756812334061,0.023946011939121905
ky,12,0.2709459483623505,0.014076132034468444
ky,13,0.2668918967247009,0.01981470078806207
ky,14,0.2770270347595215,0.018627090453970114
ky,15,0.27837838530540465,0.015198951879954757
ky,16,0.2817567646503448,0.012199641610466643
ky,17,0.2763513565063477,0.015168881814382886
ky,18,0.2797297418117523,0.015903522331053615
ky,19,0.27432432770729065,0.020427322542887334
ky,20,0.28851352334022523,0.014741497895760305
ky,21,0.2668918907642365,0.014173095461178667
ky,22,0.2858108103275299,0.01743714858313423
ky,23,0.28040540814399717,0.015989402845030736
ky,24,0.28783785104751586,0.025136590640324263
ky,25,0.302027028799057,0.008439178590862134
ky,26,0.29797297716140747,0.013747965896989399
ky,27,0.3033783853054047,0.007214239995157896
ky,28,0.30878379940986633,0.01361448631018766
ky,29,0.304054057598114,0.021684880272671965
ky,30,0.3270270347595215,0.010335849659813556
ky,31,0.3364864945411682,0.012568294599180714
ky,32,0.3364865005016327,0.028714226057139514
