src,tgt,layer,transfer_acc
en,ru,0,0.21216216683387756
en,ru,1,0.20878379046916962
en,ru,2,0.19527027010917664
en,ru,3,0.21013514697551727
en,ru,4,0.2898648679256439
en,ru,5,0.30270272493362427
en,ru,6,0.4216216206550598
en,ru,7,0.4148648679256439
en,ru,8,0.44527027010917664
en,ru,9,0.4655405580997467
en,ru,10,0.5047297477722168
en,ru,11,0.5871621966362
en,ru,12,0.5283783674240112
en,ru,13,0.5567567944526672
en,ru,14,0.5547297596931458
en,ru,15,0.5189189314842224
en,ru,16,0.5439189076423645
en,ru,17,0.5560811161994934
en,ru,18,0.5540540814399719
en,ru,19,0.5364865064620972
en,ru,20,0.5628378391265869
en,ru,21,0.558783769607544
en,ru,22,0.5797297358512878
en,ru,23,0.5209459662437439
en,ru,24,0.4932432472705841
en,ru,25,0.4533783793449402
en,ru,26,0.41554054617881775
en,ru,27,0.4094594717025757
en,ru,28,0.42702704668045044
en,ru,29,0.3236486613750458
en,ru,30,0.3054054081439972
en,ru,31,0.30202704668045044
en,ru,32,0.34324324131011963
en,ky,0,0.18445946276187897
en,ky,1,0.1756756752729416
en,ky,2,0.19527027010917664
en,ky,3,0.20000000298023224
en,ky,4,0.19121621549129486
en,ky,5,0.18851351737976074
en,ky,6,0.20675675570964813
en,ky,7,0.2013513594865799
en,ky,8,0.20878379046916962
en,ky,9,0.19729730486869812
en,ky,10,0.2155405431985855
en,ky,11,0.23783785104751587
en,ky,12,0.23108108341693878
en,ky,13,0.22297297418117523
en,ky,14,0.21486486494541168
en,ky,15,0.21418920159339905
en,ky,16,0.1918918937444687
en,ky,17,0.23716217279434204
en,ky,18,0.1966216266155243
en,ky,19,0.2013513594865799
en,ky,20,0.18108108639717102
en,ky,21,0.17905405163764954
en,ky,22,0.16351351141929626
en,ky,23,0.16621622443199158
en,ky,24,0.16013513505458832
en,ky,25,0.17094595730304718
en,ky,26,0.17432433366775513
en,ky,27,0.18648649752140045
en,ky,28,0.1783783882856369
en,ky,29,0.17162162065505981
en,ky,30,0.18445946276187897
en,ky,31,0.18918919563293457
en,ky,32,0.1918918937444687
ru,en,0,0.18108108639717102
ru,en,1,0.18108108639717102
ru,en,2,0.1851351410150528
ru,en,3,0.227027028799057
ru,en,4,0.27229729294776917
ru,en,5,0.35067567229270935
ru,en,6,0.4162162244319916
ru,en,7,0.4162162244319916
ru,en,8,0.45000001788139343
ru,en,9,0.5047297477722168
ru,en,10,0.5256757140159607
ru,en,11,0.6108108162879944
ru,en,12,0.6141892075538635
ru,en,13,0.6101351380348206
ru,en,14,0.591891884803772
ru,en,15,0.5729730129241943
ru,en,16,0.637837827205658
ru,en,17,0.6216216087341309
ru,en,18,0.6108108162879944
ru,en,19,0.6060810685157776
ru,en,20,0.5668919086456299
ru,en,21,0.5391892194747925
ru,en,22,0.4628378450870514
ru,en,23,0.43918919563293457
ru,en,24,0.4885135293006897
ru,en,25,0.4466216266155243
ru,en,26,0.46621623635292053
ru,en,27,0.44797298312187195
ru,en,28,0.3729729950428009
ru,en,29,0.36013513803482056
ru,en,30,0.4324324429035187
ru,en,31,0.4743243455886841
ru,en,32,0.458108127117157
ru,ky,0,0.1966216266155243
ru,ky,1,0.19594594836235046
ru,ky,2,0.18108108639717102
ru,ky,3,0.2108108103275299
ru,ky,4,0.21216216683387756
ru,ky,5,0.21824324131011963
ru,ky,6,0.227027028799057
ru,ky,7,0.26081082224845886
ru,ky,8,0.25
ru,ky,9,0.24189189076423645
ru,ky,10,0.23513513803482056
ru,ky,11,0.2587837874889374
ru,ky,12,0.24594594538211823
ru,ky,13,0.24459460377693176
ru,ky,14,0.22635135054588318
ru,ky,15,0.22364865243434906
ru,ky,16,0.22162163257598877
ru,ky,17,0.1966216266155243
ru,ky,18,0.20878379046916962
ru,ky,19,0.20202703773975372
ru,ky,20,0.20202703773975372
ru,ky,21,0.18851351737976074
ru,ky,22,0.1966216266155243
ru,ky,23,0.1831081062555313
ru,ky,24,0.16959460079669952
ru,ky,25,0.1918918937444687
ru,ky,26,0.2013513594865799
ru,ky,27,0.20878379046916962
ru,ky,28,0.20000000298023224
ru,ky,29,0.2202702760696411
ru,ky,30,0.2108108103275299
ru,ky,31,0.21891891956329346
ru,ky,32,0.2081081122159958
ky,en,0,0.2081081122159958
ky,en,1,0.17635135352611542
ky,en,2,0.1783783882856369
ky,en,3,0.20743243396282196
ky,en,4,0.20540541410446167
ky,en,5,0.20000000298023224
ky,en,6,0.20270270109176636
ky,en,7,0.1945945918560028
ky,en,8,0.22162163257598877
ky,en,9,0.19121621549129486
ky,en,10,0.19527027010917664
ky,en,11,0.217567577958107
ky,en,12,0.21689189970493317
ky,en,13,0.22364865243434906
ky,en,14,0.22635135054588318
ky,en,15,0.2128378450870514
ky,en,16,0.21824324131011963
ky,en,17,0.22635135054588318
ky,en,18,0.22500000894069672
ky,en,19,0.23918919265270233
ky,en,20,0.23108108341693878
ky,en,21,0.24662162363529205
ky,en,22,0.2756756842136383
ky,en,23,0.25
ky,en,24,0.23108108341693878
ky,en,25,0.24932433664798737
ky,en,26,0.22837838530540466
ky,en,27,0.2337837964296341
ky,en,28,0.25135135650634766
ky,en,29,0.24054054915905
ky,en,30,0.23986487090587616
ky,en,31,0.2385135143995285
ky,en,32,0.24932433664798737
ky,ru,0,0.19797298312187195
