model,lang,layer,real_acc,n_perm,n_ge,p_value
gemma4,EN,0,0.6014,10000,0,9.999000099990002e-05
gemma4,RU,6,0.5068,10000,0,9.999000099990002e-05
gemma4,KY,4,0.4554,10000,0,9.999000099990002e-05
qwen3,EN,9,0.6034,10000,0,9.999000099990002e-05
qwen3,RU,11,0.5818,10000,0,9.999000099990002e-05
qwen3,KY,27,0.4682,10000,0,9.999000099990002e-05
llama,EN,1,0.6236,10000,0,9.999000099990002e-05
llama,RU,7,0.5736,10000,0,9.999000099990002e-05
llama,KY,3,0.4777,10000,0,9.999000099990002e-05
mistral,EN,5,0.6128,10000,0,9.999000099990002e-05
mistral,RU,9,0.5655,10000,0,9.999000099990002e-05
mistral,KY,2,0.45,10000,0,9.999000099990002e-05
xlmr,EN,12,0.5514,10000,0,9.999000099990002e-05
xlmr,RU,12,0.4784,10000,0,9.999000099990002e-05
xlmr,KY,18,0.4473,10000,0,9.999000099990002e-05
