lang,layer,perm_mean,perm_std
en,0,0.16691216591000554,0.01085987894993949
en,5,0.16666216588020327,0.010314282365414325
en,10,0.16677703025937082,0.011104563194185277
en,15,0.16581081414222715,0.010379047487315246
en,20,0.16871621981263157,0.011041252003194437
en,25,0.16522973321378231,0.01142927737214709
en,30,0.16594594952464103,0.012386077303719326
en,35,0.1658918952047825,0.010502130448469203
en,40,0.16642567884922027,0.011378143754125868
ru,0,0.16650676056742672,0.010066096096791738
ru,5,0.16713513849675657,0.011059850990288427
ru,10,0.1678445981889963,0.010346046713078639
ru,15,0.16712838223576548,0.011850117176800146
ru,20,0.16583108447492123,0.01140201711557524
ru,25,0.16687162542343142,0.01291741258446901
ru,30,0.16839865233004095,0.011398653369391495
ru,35,0.1671689223945141,0.010863930009908297
ru,40,0.16757432806491854,0.009828002511379242
ky,0,0.16670946258306507,0.010133718320442603
ky,5,0.1677837871015072,0.009648156666727596
ky,10,0.16733784154057502,0.010772830666954496
ky,15,0.1679256789535284,0.010824930184030015
ky,20,0.16491216598451142,0.009755622269002022
ky,25,0.1670878414809704,0.010811358136929168
ky,30,0.16579730060696599,0.010578492484229993
ky,35,0.16479054374992846,0.009668017694276812
ky,40,0.16762162539362907,0.009875818169260536
