lang,layer,accuracy,f1_macro
en,0,0.6,0.5976060643998271
en,1,0.5770270270270271,0.5756957012156644
en,2,0.5324324324324324,0.5323485786868105
en,3,0.5263513513513514,0.5262002829917867
en,4,0.5283783783783783,0.5285851082433893
en,5,0.5168918918918919,0.5161003418338044
en,6,0.5628378378378378,0.561106984805292
en,7,0.5513513513513514,0.5488944806930888
en,8,0.5324324324324323,0.5296279319269744
en,9,0.49527027027027026,0.4942631744911057
en,10,0.504054054054054,0.5023236710149951
en,11,0.5074324324324324,0.5058896609938248
en,12,0.5128378378378378,0.5106841122313762
en,13,0.5121621621621621,0.510346481029694
en,14,0.47905405405405405,0.47642049157340144
en,15,0.45,0.44748065582765306
en,16,0.4358108108108108,0.4349071626123725
en,17,0.4094594594594595,0.4078009308691743
en,18,0.3797297297297297,0.37793758383616555
en,19,0.3689189189189189,0.36741188384946855
en,20,0.3824324324324324,0.3799469780397878
en,21,0.41891891891891897,0.4163773580859768
en,22,0.42837837837837844,0.42585782859004073
en,23,0.43040540540540545,0.4291894079303269
en,24,0.38513513513513514,0.38510232089907137
en,25,0.40067567567567564,0.3995844943743681
en,26,0.43040540540540545,0.42837530564560533
en,27,0.422972972972973,0.4198715821219438
en,28,0.4141891891891891,0.4122650820497601
en,29,0.40810810810810805,0.4059517136723477
en,30,0.422972972972973,0.42258234179345927
en,31,0.4513513513513514,0.4497117237700733
en,32,0.46621621621621623,0.46326848521195585
en,33,0.48108108108108116,0.48001499343345094
en,34,0.46891891891891896,0.4668697257318022
en,35,0.4486486486486486,0.44595601515073946
en,36,0.47027027027027024,0.46841445629089307
en,37,0.46621621621621623,0.46442209855778566
en,38,0.4594594594594595,0.4580250375595969
en,39,0.4628378378378379,0.46106974427903785
en,40,0.4797297297297297,0.4780107660095648
en,41,0.4614864864864865,0.460857113676692
en,42,0.4675675675675676,0.46455648429471347
ru,0,0.4486486486486486,0.4462758284755366
ru,1,0.4452702702702703,0.44319901648723736
ru,2,0.44256756756756754,0.44099438677120295
ru,3,0.44324324324324327,0.4413876325833816
ru,4,0.4743243243243243,0.47299123524471687
ru,5,0.48310810810810806,0.4806950665306413
ru,6,0.508108108108108,0.5065900679729989
ru,7,0.5081081081081081,0.5062894269487295
ru,8,0.5033783783783784,0.5025793915052521
ru,9,0.47027027027027024,0.46948813140938706
ru,10,0.475,0.47318097845332235
ru,11,0.4554054054054054,0.4547994351651514
ru,12,0.4594594594594595,0.45793415381176156
ru,13,0.47297297297297297,0.4706112830437183
ru,14,0.4412162162162162,0.4411125316717178
ru,15,0.4243243243243243,0.42160258168027553
ru,16,0.4,0.39736467422777244
ru,17,0.3783783783783784,0.3765133185436787
ru,18,0.33445945945945943,0.33330524000683964
ru,19,0.33378378378378376,0.33254283070537627
ru,20,0.3337837837837837,0.3316855976927259
ru,21,0.3486486486486486,0.34706387874044264
ru,22,0.3722972972972973,0.37128101681982895
ru,23,0.3858108108108108,0.38436223483080834
ru,24,0.3398648648648649,0.33878479873565104
ru,25,0.34256756756756757,0.3415079209732296
ru,26,0.3445945945945946,0.3429862321426157
ru,27,0.35202702702702704,0.35012465914331253
ru,28,0.34256756756756757,0.3414750636462684
ru,29,0.34932432432432436,0.3477503705498261
ru,30,0.35135135135135137,0.34946365145458635
ru,31,0.39256756756756755,0.39108488502790806
ru,32,0.40878378378378377,0.40646652713283044
ru,33,0.40202702702702703,0.3984538247201076
ru,34,0.40405405405405403,0.4005267338962062
ru,35,0.3891891891891892,0.3878356109032929
ru,36,0.3952702702702703,0.39445152498600305
ru,37,0.39189189189189194,0.39198111156278115
ru,38,0.3959459459459459,0.3949413939806383
ru,39,0.4027027027027027,0.4014302101545666
ru,40,0.4101351351351351,0.40883606849892473
ru,41,0.4027027027027027,0.40175494925342364
ru,42,0.40405405405405403,0.40278583392878786
ky,0,0.43243243243243246,0.42910898274761955
ky,1,0.43445945945945946,0.43271207704385856
ky,2,0.41621621621621624,0.4151087145427915
ky,3,0.40472972972972965,0.40236796798084207
ky,4,0.45675675675675687,0.4529835702996229
ky,5,0.44594594594594594,0.44215803648799207
ky,6,0.4371621621621621,0.4337618172314725
ky,7,0.4378378378378378,0.43560180475844196
ky,8,0.40675675675675677,0.4028936074807164
ky,9,0.4114864864864865,0.40897397548527603
ky,10,0.39594594594594595,0.39465940317929177
ky,11,0.38851351351351354,0.38639225544798295
ky,12,0.38040540540540546,0.3776629282991334
ky,13,0.36824324324324326,0.365871417397379
ky,14,0.35810810810810806,0.35537532313090164
ky,15,0.325,0.32296943869976613
ky,16,0.32499999999999996,0.322825061590215
ky,17,0.3270270270270271,0.32435723246850273
ky,18,0.3,0.29807202628108864
ky,19,0.28243243243243243,0.2798914227747879
ky,20,0.3195945945945946,0.31728238163827605
ky,21,0.32770270270270274,0.3251394226654581
ky,22,0.36081081081081084,0.35699128758983234
ky,23,0.37229729729729727,0.36853364259261123
ky,24,0.3222972972972973,0.3214989620241005
ky,25,0.33310810810810815,0.33015576772106636
ky,26,0.3155405405405406,0.3115050955373383
ky,27,0.3189189189189189,0.31607309504714903
ky,28,0.3310810810810811,0.328187494040043
ky,29,0.3398648648648649,0.3374337023506654
ky,30,0.35337837837837843,0.35099614063813034
ky,31,0.39054054054054055,0.38829731869809636
ky,32,0.38918918918918916,0.3846851569645802
ky,33,0.39864864864864863,0.39489577745794346
ky,34,0.3966216216216216,0.3939145366295561
ky,35,0.3952702702702703,0.39195865254302903
ky,36,0.3716216216216216,0.3680069543193657
ky,37,0.3743243243243243,0.37150395514644735
ky,38,0.3655405405405405,0.36401089159405536
ky,39,0.35270270270270265,0.3506694643617053
ky,40,0.36081081081081084,0.3574065206368336
ky,41,0.3621621621621621,0.35892969736834124
ky,42,0.3391891891891892,0.3370848630799781
