model,lang,layer,acc,z_score
gemma4,en,0,0.5925675868988037,39.19522703254197
gemma4,en,1,0.5783783912658691,37.88865670166238
gemma4,en,2,0.529054069519043,33.34677166093627
gemma4,en,3,0.5202702760696412,32.53794188577098
gemma4,en,4,0.5195946037769318,32.475724590732604
gemma4,en,5,0.5310810923576355,33.533424094903204
gemma4,en,6,0.5608108162879943,36.27099824903545
gemma4,en,7,0.5520270466804504,35.46217066927749
gemma4,en,8,0.5283783972263336,33.284554365897904
gemma4,en,9,0.4790540695190429,28.74266877631994
gemma4,en,10,0.4959459662437439,30.29810938505668
gemma4,en,11,0.5054054319858551,31.16915645526035
gemma4,en,12,0.503378403186798,30.98250347244157
gemma4,en,13,0.4918918967247009,29.924802321715465
gemma4,en,14,0.4783783972263336,28.68045148128158
gemma4,en,15,0.441216230392456,25.258482690912604
gemma4,en,16,0.4310810923576355,24.325218325670576
gemma4,en,17,0.4067567646503448,22.085384178400783
gemma4,en,18,0.3810810923576355,19.72111544105426
gemma4,en,19,0.3668918967247009,18.41454511017467
gemma4,en,20,0.3918918967247009,20.71659655248283
gemma4,en,21,0.4114864945411682,22.5209074390767
gemma4,en,22,0.4466216385364532,25.756223795478732
gemma4,en,23,0.4243243396282196,23.703042631027717
gemma4,en,24,0.385135143995285,20.094420857839967
gemma4,en,25,0.3966216325759887,21.152120362010578
gemma4,en,26,0.4283783853054047,24.076347498961596
gemma4,en,27,0.4148648738861084,22.831995560824048
gemma4,en,28,0.410135143995285,22.39647230014813
gemma4,en,29,0.412162172794342,22.5831252829669
gemma4,en,30,0.4155405461788177,22.894212855862413
gemma4,en,31,0.4472973048686981,25.81844054166527
gemma4,en,32,0.4601351499557495,27.00057573361628
gemma4,en,33,0.4743243396282196,28.307145515644038
gemma4,en,34,0.4682432532310486,27.74718656718771
gemma4,en,35,0.4493243336677551,26.005093524484035
gemma4,en,36,0.4783783912658691,28.68045093242975
gemma4,en,37,0.4635135233402252,27.311663306511797
gemma4,en,38,0.4641892075538635,27.373881699253833
gemma4,en,39,0.4655405580997467,27.498316838182404
gemma4,en,40,0.4858108162879944,29.36484392211098
gemma4,en,41,0.4587837934494018,26.87614004583587
gemma4,en,42,0.4851351499557495,29.30262717592444
qwen3,en,0,0.5135135233402253,16.61242008267685
qwen3,en,1,0.5743243455886841,19.55701498739108
qwen3,en,2,0.562162184715271,18.968096179619582
qwen3,en,3,0.5797297477722168,19.818756551458897
qwen3,en,4,0.5925675868988037,20.440393199048334
qwen3,en,5,0.5986486673355103,20.734852602934083
qwen3,en,6,0.5912162303924561,20.37495751941247
qwen3,en,7,0.5736486554145813,19.524296570335327
qwen3,en,8,0.5986486673355103,20.734852602934083
qwen3,en,9,0.6141892194747924,21.487360609795246
qwen3,en,10,0.6081081390380859,21.192901205909497
qwen3,en,11,0.5885135173797608,20.244086160140736
qwen3,en,12,0.5824324488639832,19.94962733349281
qwen3,en,13,0.5763513803482055,19.65516850684488
qwen3,en,14,0.566216230392456,19.164402064051533
qwen3,en,15,0.5682432532310486,19.26255500626751
qwen3,en,16,0.566216230392456,19.164402064051533
qwen3,en,17,0.5527027249336243,18.51004815388199
qwen3,en,18,0.5479729890823364,18.28102385239428
qwen3,en,19,0.5506756782531739,18.41189405719037
qwen3,en,20,0.5371621727943421,17.757540147020826
qwen3,en,21,0.5520270228385925,18.47732915958841
qwen3,en,22,0.5581081330776214,18.771790006568718
qwen3,en,23,0.5736486554145813,19.524296570335327
