lang,emotion,layer,ovr_acc
en,anger,0,0.5945945978164673
en,anger,1,0.6114864945411682
en,anger,2,0.6047297716140747
en,anger,3,0.6114864945411682
en,anger,4,0.6148648858070374
en,anger,5,0.6385135054588318
en,anger,6,0.6452702879905701
en,anger,7,0.6520270705223083
en,anger,8,0.6756756901741028
en,anger,9,0.6554054021835327
en,anger,10,0.625
en,anger,11,0.6283783912658691
en,anger,12,0.6418918967247009
en,anger,13,0.6554054021835327
en,anger,14,0.6182432770729065
en,anger,15,0.6385135054588318
en,anger,16,0.6418918967247009
en,anger,17,0.6081081032752991
en,anger,18,0.6013513803482056
en,anger,19,0.6216216087341309
en,anger,20,0.5912162065505981
en,anger,21,0.6047297716140747
en,anger,22,0.6148648858070374
en,anger,23,0.6283783912658691
en,anger,24,0.6452702879905701
en,anger,25,0.6587837934494019
en,anger,26,0.6520270705223083
en,anger,27,0.6486486792564392
en,anger,28,0.6385135054588318
en,anger,29,0.6317567825317383
en,anger,30,0.6486486792564392
en,anger,31,0.6418918967247009
en,anger,32,0.6385135054588318
en,anger,33,0.6452702879905701
en,anger,34,0.6351351737976074
en,anger,35,0.6587837934494019
en,anger,36,0.6351351737976074
en,disgust,0,0.6554054021835327
en,disgust,1,0.7162162065505981
en,disgust,2,0.7060810923576355
en,disgust,3,0.6925675868988037
en,disgust,4,0.6959459781646729
en,disgust,5,0.7364864945411682
en,disgust,6,0.7229729890823364
en,disgust,7,0.7195945978164673
en,disgust,8,0.699324369430542
en,disgust,9,0.6824324727058411
en,disgust,10,0.6959459781646729
en,disgust,11,0.6385135054588318
en,disgust,12,0.6689189076423645
en,disgust,13,0.6824324727058411
en,disgust,14,0.7027027010917664
en,disgust,15,0.7060810923576355
en,disgust,16,0.7331081032752991
en,disgust,17,0.7128378748893738
en,disgust,18,0.7162162065505981
en,disgust,19,0.7162162065505981
en,disgust,20,0.7027027010917664
en,disgust,21,0.6858108043670654
en,disgust,22,0.7094594836235046
en,disgust,23,0.662162184715271
en,disgust,24,0.7027027010917664
en,disgust,25,0.7060810923576355
en,disgust,26,0.7060810923576355
en,disgust,27,0.7128378748893738
en,disgust,28,0.6824324727058411
en,disgust,29,0.699324369430542
en,disgust,30,0.7162162065505981
en,disgust,31,0.6891891956329346
en,disgust,32,0.6790540814399719
en,disgust,33,0.6689189076423645
en,disgust,34,0.7263513803482056
en,disgust,35,0.699324369430542
en,disgust,36,0.7060810923576355
en,fear,0,0.7702702879905701
en,fear,1,0.7837837934494019
en,fear,2,0.7804054021835327
en,fear,3,0.8344594836235046
en,fear,4,0.8040540814399719
en,fear,5,0.8412162661552429
en,fear,6,0.787162184715271
en,fear,7,0.7804054021835327
en,fear,8,0.8209459781646729
en,fear,9,0.8141891956329346
en,fear,10,0.8412162661552429
en,fear,11,0.8175675868988037
en,fear,12,0.7668918967247009
en,fear,13,0.75
en,fear,14,0.7432432770729065
en,fear,15,0.7466216683387756
en,fear,16,0.7466216683387756
en,fear,17,0.7060810923576355
en,fear,18,0.7060810923576355
en,fear,19,0.662162184715271
en,fear,20,0.6790540814399719
en,fear,21,0.699324369430542
en,fear,22,0.7229729890823364
en,fear,23,0.7263513803482056
en,fear,24,0.7331081032752991
en,fear,25,0.7398648858070374
en,fear,26,0.7635135054588318
en,fear,27,0.7364864945411682
en,fear,28,0.7601351737976074
en,fear,29,0.7432432770729065
en,fear,30,0.7331081032752991
en,fear,31,0.7702702879905701
en,fear,32,0.7533783912658691
en,fear,33,0.7668918967247009
en,fear,34,0.7398648858070374
en,fear,35,0.7297297716140747
en,fear,36,0.7364864945411682
en,joy,0,0.787162184715271
en,joy,1,0.8513513803482056
en,joy,2,0.8547297716140747
en,joy,3,0.875
en,joy,4,0.8006756901741028
en,joy,5,0.8074324727058411
en,joy,6,0.8006756901741028
en,joy,7,0.8445945978164673
en,joy,8,0.8344594836235046
en,joy,9,0.8310810923576355
en,joy,10,0.8074324727058411
en,joy,11,0.8141891956329346
en,joy,12,0.8108108043670654
en,joy,13,0.8141891956329346
en,joy,14,0.824324369430542
en,joy,15,0.8277027010917664
en,joy,16,0.824324369430542
en,joy,17,0.824324369430542
en,joy,18,0.8141891956329346
en,joy,19,0.8108108043670654
en,joy,20,0.7972972989082336
en,joy,21,0.8344594836235046
en,joy,22,0.824324369430542
en,joy,23,0.8716216683387756
en,joy,24,0.8614864945411682
en,joy,25,0.8581081032752991
en,joy,26,0.8682432770729065
en,joy,27,0.8851351737976074
en,joy,28,0.8581081032752991
en,joy,29,0.875
en,joy,30,0.8479729890823364
en,joy,31,0.8479729890823364
en,joy,32,0.8445945978164673
en,joy,33,0.8277027010917664
en,joy,34,0.8310810923576355
en,joy,35,0.8209459781646729
en,joy,36,0.8175675868988037
en,sadness,0,0.662162184715271
en,sadness,1,0.6959459781646729
en,sadness,2,0.6655405759811401
en,sadness,3,0.6925675868988037
en,sadness,4,0.7804054021835327
en,sadness,5,0.7567567825317383
en,sadness,6,0.7770270705223083
en,sadness,7,0.7263513803482056
en,sadness,8,0.7094594836235046
en,sadness,9,0.7432432770729065
en,sadness,10,0.7297297716140747
en,sadness,11,0.7229729890823364
en,sadness,12,0.7331081032752991
en,sadness,13,0.7094594836235046
en,sadness,14,0.7297297716140747
en,sadness,15,0.7195945978164673
en,sadness,16,0.7027027010917664
en,sadness,17,0.7128378748893738
en,sadness,18,0.6452702879905701
en,sadness,19,0.6756756901741028
en,sadness,20,0.7128378748893738
en,sadness,21,0.7263513803482056
en,sadness,22,0.7162162065505981
en,sadness,23,0.7094594836235046
en,sadness,24,0.7027027010917664
en,sadness,25,0.6959459781646729
en,sadness,26,0.662162184715271
en,sadness,27,0.7060810923576355
en,sadness,28,0.6891891956329346
en,sadness,29,0.6925675868988037
en,sadness,30,0.6925675868988037
en,sadness,31,0.6722972989082336
en,sadness,32,0.6790540814399719
en,sadness,33,0.699324369430542
en,sadness,34,0.6689189076423645
en,sadness,35,0.6959459781646729
en,sadness,36,0.6959459781646729
en,surprise,0,0.7060810923576355
en,surprise,1,0.6722972989082336
en,surprise,2,0.6925675868988037
en,surprise,3,0.662162184715271
en,surprise,4,0.699324369430542
en,surprise,5,0.6824324727058411
en,surprise,6,0.6520270705223083
en,surprise,7,0.6790540814399719
en,surprise,8,0.6858108043670654
en,surprise,9,0.7027027010917664
en,surprise,10,0.7027027010917664
en,surprise,11,0.7162162065505981
en,surprise,12,0.7060810923576355
en,surprise,13,0.6858108043670654
en,surprise,14,0.7027027010917664
en,surprise,15,0.7195945978164673
en,surprise,16,0.6925675868988037
en,surprise,17,0.7297297716140747
en,surprise,18,0.7364864945411682
en,surprise,19,0.7533783912658691
en,surprise,20,0.7432432770729065
en,surprise,21,0.7094594836235046
en,surprise,22,0.662162184715271
en,surprise,23,0.7094594836235046
en,surprise,24,0.7195945978164673
en,surprise,25,0.7162162065505981
en,surprise,26,0.6925675868988037
en,surprise,27,0.7094594836235046
en,surprise,28,0.7027027010917664
en,surprise,29,0.7094594836235046
en,surprise,30,0.6959459781646729
en,surprise,31,0.7297297716140747
en,surprise,32,0.7094594836235046
en,surprise,33,0.6790540814399719
en,surprise,34,0.6790540814399719
en,surprise,35,0.6891891956329346
en,surprise,36,0.6790540814399719
ru,anger,0,0.5912162065505981
ru,anger,1,0.6655405759811401
ru,anger,2,0.6891891956329346
ru,anger,3,0.6824324727058411
ru,anger,4,0.6418918967247009
ru,anger,5,0.6486486792564392
ru,anger,6,0.6689189076423645
ru,anger,7,0.662162184715271
ru,anger,8,0.6959459781646729
ru,anger,9,0.6756756901741028
ru,anger,10,0.6554054021835327
ru,anger,11,0.6858108043670654
ru,anger,12,0.6959459781646729
ru,anger,13,0.699324369430542
ru,anger,14,0.6655405759811401
ru,anger,15,0.6891891956329346
ru,anger,16,0.6486486792564392
ru,anger,17,0.6385135054588318
ru,anger,18,0.6824324727058411
ru,anger,19,0.6452702879905701
ru,anger,20,0.662162184715271
ru,anger,21,0.6790540814399719
ru,anger,22,0.6824324727058411
ru,anger,23,0.6858108043670654
ru,anger,24,0.6689189076423645
ru,anger,25,0.6418918967247009
ru,anger,26,0.662162184715271
ru,anger,27,0.625
ru,anger,28,0.6047297716140747
ru,anger,29,0.6317567825317383
ru,anger,30,0.6554054021835327
ru,anger,31,0.6351351737976074
ru,anger,32,0.6385135054588318
ru,anger,33,0.6418918967247009
ru,anger,34,0.6554054021835327
ru,anger,35,0.662162184715271
ru,anger,36,0.6452702879905701
ru,disgust,0,0.6418918967247009
ru,disgust,1,0.6554054021835327
ru,disgust,2,0.6689189076423645
ru,disgust,3,0.6858108043670654
ru,disgust,4,0.6722972989082336
ru,disgust,5,0.7398648858070374
ru,disgust,6,0.7162162065505981
ru,disgust,7,0.7331081032752991
ru,disgust,8,0.7060810923576355
ru,disgust,9,0.7128378748893738
ru,disgust,10,0.6959459781646729
ru,disgust,11,0.7195945978164673
ru,disgust,12,0.7128378748893738
ru,disgust,13,0.7229729890823364
ru,disgust,14,0.7060810923576355
ru,disgust,15,0.7094594836235046
ru,disgust,16,0.7094594836235046
ru,disgust,17,0.7060810923576355
ru,disgust,18,0.6824324727058411
ru,disgust,19,0.6722972989082336
ru,disgust,20,0.6824324727058411
ru,disgust,21,0.6891891956329346
ru,disgust,22,0.6891891956329346
ru,disgust,23,0.6722972989082336
ru,disgust,24,0.6790540814399719
ru,disgust,25,0.6891891956329346
ru,disgust,26,0.6891891956329346
ru,disgust,27,0.7162162065505981
ru,disgust,28,0.7364864945411682
ru,disgust,29,0.699324369430542
ru,disgust,30,0.699324369430542
ru,disgust,31,0.6858108043670654
ru,disgust,32,0.699324369430542
ru,disgust,33,0.7094594836235046
ru,disgust,34,0.7027027010917664
ru,disgust,35,0.6959459781646729
ru,disgust,36,0.7195945978164673
ru,fear,0,0.6891891956329346
ru,fear,1,0.7297297716140747
ru,fear,2,0.7331081032752991
ru,fear,3,0.7027027010917664
ru,fear,4,0.7195945978164673
ru,fear,5,0.7567567825317383
ru,fear,6,0.7567567825317383
ru,fear,7,0.7601351737976074
ru,fear,8,0.787162184715271
ru,fear,9,0.787162184715271
ru,fear,10,0.8040540814399719
ru,fear,11,0.7905405759811401
ru,fear,12,0.75
ru,fear,13,0.7736486792564392
ru,fear,14,0.7567567825317383
ru,fear,15,0.7567567825317383
ru,fear,16,0.7466216683387756
ru,fear,17,0.7668918967247009
ru,fear,18,0.787162184715271
ru,fear,19,0.7702702879905701
ru,fear,20,0.7432432770729065
ru,fear,21,0.7804054021835327
ru,fear,22,0.7702702879905701
ru,fear,23,0.7567567825317383
ru,fear,24,0.7432432770729065
ru,fear,25,0.7398648858070374
ru,fear,26,0.75
ru,fear,27,0.7702702879905701
ru,fear,28,0.7804054021835327
ru,fear,29,0.7635135054588318
ru,fear,30,0.7770270705223083
ru,fear,31,0.7364864945411682
ru,fear,32,0.75
ru,fear,33,0.7668918967247009
ru,fear,34,0.7466216683387756
ru,fear,35,0.75
ru,fear,36,0.7533783912658691
ru,joy,0,0.787162184715271
ru,joy,1,0.7837837934494019
ru,joy,2,0.7972972989082336
ru,joy,3,0.7668918967247009
ru,joy,4,0.8006756901741028
ru,joy,5,0.8074324727058411
ru,joy,6,0.8513513803482056
ru,joy,7,0.824324369430542
ru,joy,8,0.8209459781646729
ru,joy,9,0.8344594836235046
ru,joy,10,0.8277027010917664
ru,joy,11,0.8445945978164673
ru,joy,12,0.8277027010917664
ru,joy,13,0.8581081032752991
ru,joy,14,0.8581081032752991
ru,joy,15,0.8648648858070374
ru,joy,16,0.8513513803482056
ru,joy,17,0.8479729890823364
ru,joy,18,0.8445945978164673
ru,joy,19,0.8074324727058411
ru,joy,20,0.7905405759811401
ru,joy,21,0.7736486792564392
ru,joy,22,0.7939189672470093
ru,joy,23,0.8310810923576355
ru,joy,24,0.8479729890823364
ru,joy,25,0.8581081032752991
ru,joy,26,0.8547297716140747
ru,joy,27,0.8614864945411682
ru,joy,28,0.875
ru,joy,29,0.8716216683387756
ru,joy,30,0.8682432770729065
ru,joy,31,0.8682432770729065
ru,joy,32,0.8716216683387756
ru,joy,33,0.875
ru,joy,34,0.8581081032752991
ru,joy,35,0.8547297716140747
ru,joy,36,0.8445945978164673
ru,sadness,0,0.6756756901741028
ru,sadness,1,0.6385135054588318
ru,sadness,2,0.6418918967247009
ru,sadness,3,0.625
ru,sadness,4,0.662162184715271
ru,sadness,5,0.6824324727058411
ru,sadness,6,0.6452702879905701
ru,sadness,7,0.6790540814399719
ru,sadness,8,0.6790540814399719
ru,sadness,9,0.6722972989082336
ru,sadness,10,0.7094594836235046
ru,sadness,11,0.6891891956329346
ru,sadness,12,0.7229729890823364
ru,sadness,13,0.7027027010917664
ru,sadness,14,0.7027027010917664
ru,sadness,15,0.7128378748893738
ru,sadness,16,0.7263513803482056
ru,sadness,17,0.7027027010917664
ru,sadness,18,0.6925675868988037
ru,sadness,19,0.6925675868988037
ru,sadness,20,0.6824324727058411
ru,sadness,21,0.7128378748893738
ru,sadness,22,0.6959459781646729
ru,sadness,23,0.6925675868988037
ru,sadness,24,0.6858108043670654
ru,sadness,25,0.6756756901741028
ru,sadness,26,0.6722972989082336
ru,sadness,27,0.7027027010917664
ru,sadness,28,0.6587837934494019
ru,sadness,29,0.6722972989082336
ru,sadness,30,0.6722972989082336
ru,sadness,31,0.6587837934494019
ru,sadness,32,0.6587837934494019
ru,sadness,33,0.6891891956329346
ru,sadness,34,0.6689189076423645
ru,sadness,35,0.6722972989082336
ru,sadness,36,0.6790540814399719
ru,surprise,0,0.6452702879905701
ru,surprise,1,0.662162184715271
ru,surprise,2,0.6891891956329346
ru,surprise,3,0.6858108043670654
ru,surprise,4,0.6858108043670654
ru,surprise,5,0.6689189076423645
ru,surprise,6,0.6756756901741028
ru,surprise,7,0.6587837934494019
ru,surprise,8,0.6452702879905701
ru,surprise,9,0.7060810923576355
ru,surprise,10,0.6959459781646729
ru,surprise,11,0.6689189076423645
ru,surprise,12,0.6418918967247009
ru,surprise,13,0.6722972989082336
ru,surprise,14,0.6554054021835327
ru,surprise,15,0.6790540814399719
ru,surprise,16,0.6891891956329346
ru,surprise,17,0.6891891956329346
ru,surprise,18,0.699324369430542
ru,surprise,19,0.6891891956329346
ru,surprise,20,0.6858108043670654
ru,surprise,21,0.7027027010917664
ru,surprise,22,0.6891891956329346
ru,surprise,23,0.662162184715271
ru,surprise,24,0.6689189076423645
ru,surprise,25,0.6891891956329346
ru,surprise,26,0.6959459781646729
ru,surprise,27,0.6722972989082336
ru,surprise,28,0.6486486792564392
ru,surprise,29,0.625
ru,surprise,30,0.6554054021835327
ru,surprise,31,0.6418918967247009
ru,surprise,32,0.5945945978164673
ru,surprise,33,0.5777027010917664
ru,surprise,34,0.6114864945411682
ru,surprise,35,0.6385135054588318
ru,surprise,36,0.6114864945411682
ky,anger,0,0.6891891956329346
ky,anger,1,0.7027027010917664
ky,anger,2,0.6858108043670654
ky,anger,3,0.6452702879905701
ky,anger,4,0.6722972989082336
ky,anger,5,0.7027027010917664
ky,anger,6,0.6722972989082336
ky,anger,7,0.6655405759811401
ky,anger,8,0.699324369430542
ky,anger,9,0.6351351737976074
ky,anger,10,0.6520270705223083
ky,anger,11,0.6554054021835327
ky,anger,12,0.6689189076423645
ky,anger,13,0.6790540814399719
ky,anger,14,0.6756756901741028
ky,anger,15,0.6689189076423645
ky,anger,16,0.6824324727058411
ky,anger,17,0.6790540814399719
ky,anger,18,0.6925675868988037
ky,anger,19,0.6790540814399719
ky,anger,20,0.7060810923576355
ky,anger,21,0.6587837934494019
ky,anger,22,0.6959459781646729
ky,anger,23,0.6959459781646729
ky,anger,24,0.6554054021835327
ky,anger,25,0.7027027010917664
ky,anger,26,0.6925675868988037
ky,anger,27,0.7162162065505981
ky,anger,28,0.6891891956329346
ky,anger,29,0.7195945978164673
ky,anger,30,0.7432432770729065
ky,anger,31,0.699324369430542
ky,anger,32,0.7060810923576355
ky,anger,33,0.7128378748893738
ky,anger,34,0.6959459781646729
ky,anger,35,0.6655405759811401
ky,anger,36,0.7094594836235046
ky,disgust,0,0.7027027010917664
ky,disgust,1,0.7466216683387756
ky,disgust,2,0.7364864945411682
ky,disgust,3,0.7398648858070374
ky,disgust,4,0.7060810923576355
ky,disgust,5,0.7027027010917664
ky,disgust,6,0.6925675868988037
ky,disgust,7,0.6689189076423645
