lang,layer,acc_mean,acc_std
en,0,0.20202703177928924,0.01997533466806314
en,1,0.34121622443199157,0.024361836606030984
en,2,0.3364864945411682,0.026480972658483527
en,3,0.3621621668338776,0.015903520558405236
en,4,0.37094594836235045,0.025407560054851362
en,5,0.3695946097373962,0.021747941995225548
en,6,0.36756757497787473,0.0405067436788002
en,7,0.40878379344940186,0.021579348906646333
en,8,0.4202702879905701,0.020111997714716265
en,9,0.4527027130126953,0.013681397718729482
en,10,0.4554054200649261,0.008384918273416352
en,11,0.47500001192092894,0.023072125735739284
en,12,0.4689189314842224,0.015903522077816864
en,13,0.462162172794342,0.007821513452599375
en,14,0.4405405580997467,0.028233223478707877
en,15,0.4378378510475159,0.013614484535311121
en,16,0.4405405521392822,0.008164219332508995
en,17,0.4189189374446869,0.00880973458619726
en,18,0.4148648798465729,0.015903519545460345
en,19,0.42905406951904296,0.024641322860568568
en,20,0.4331081211566925,0.02031526555834955
en,21,0.427027040719986,0.024604244458791776
en,22,0.4229729831218719,0.029405481712530747
en,23,0.42837839126586913,0.03532951025289945
en,24,0.4405405521392822,0.02815225162308543
en,25,0.4290540635585785,0.013171338916123428
en,26,0.4472973108291626,0.010810808464885623
en,27,0.4452702820301056,0.015168887920888028
en,28,0.4432432532310486,0.02285342269085907
en,29,0.44527027010917664,0.027060793237802725
en,30,0.44662163257598875,0.020538760127963906
en,31,0.4479729771614075,0.02497259331683546
en,32,0.4486486554145813,0.01997533416402421
en,33,0.4560810923576355,0.025993767668225032
en,34,0.45878379344940184,0.03312879502995043
en,35,0.45337839126586915,0.02467835942475863
en,36,0.4756756842136383,0.029327739829682734
ru,0,0.19121622145175934,0.022266563426647352
ru,1,0.2668918907642365,0.018130281198827723
ru,2,0.28175675868988037,0.018079845439638018
ru,3,0.3033783853054047,0.03360764199085771
ru,4,0.2986486554145813,0.029187307687354426
ru,5,0.31351351737976074,0.03454546886171568
ru,6,0.3277027070522308,0.031110446583325527
ru,7,0.352027028799057,0.02439928289080805
ru,8,0.35878378748893736,0.018918924885137335
ru,9,0.40000001788139344,0.026480968704290446
ru,10,0.3986486554145813,0.018870595144028505
ru,11,0.4418918967247009,0.027479322533605938
ru,12,0.42837839126586913,0.026116412336905783
ru,13,0.4439189314842224,0.03180703478590727
ru,14,0.43513513803482057,0.039305510856492816
ru,15,0.4466216266155243,0.037583610503071144
ru,16,0.43378379940986633,0.019768563993533023
ru,17,0.435135143995285,0.016188045104242803
ru,18,0.4283783853054047,0.02214320334312058
ru,19,0.4182432532310486,0.02789157702528296
ru,20,0.41621623039245603,0.0223484248007165
ru,21,0.43918919563293457,0.021579348906646333
ru,22,0.43040541410446165,0.024789108840764056
ru,23,0.4175675749778748,0.0160748323114776
ru,24,0.41418919563293455,0.015643025103019997
ru,25,0.4243243336677551,0.01201107408971212
ru,26,0.4256756901741028,0.01761946802952344
ru,27,0.42837839126586913,0.0187978705516361
ru,28,0.4405405521392822,0.017953144574226525
ru,29,0.42770270705223085,0.017697023776870182
ru,30,0.43310811519622805,0.022450339860258982
ru,31,0.4459459662437439,0.018749238653123567
ru,32,0.44121623039245605,0.03469052954099521
ru,33,0.43243244886398313,0.03261491487420207
ru,34,0.4337837934494019,0.02749594233984509
ru,35,0.4472973048686981,0.02542553461296373
ru,36,0.44391892552375795,0.017173327682483256
ky,0,0.21486487090587617,0.029421002029674355
ky,1,0.2790540635585785,0.013945787429698224
ky,2,0.28851352334022523,0.02469685019278781
ky,3,0.28040540516376494,0.03205010928104992
ky,4,0.2932432532310486,0.030247340280274624
ky,5,0.3020270258188248,0.04635155155808835
ky,6,0.30810810923576354,0.02411698300342986
ky,7,0.30337839126586913,0.020427316233937298
ky,8,0.33108108639717104,0.02060534602282291
ky,9,0.3594594657421112,0.025063832651169772
ky,10,0.36621623039245604,0.02044965572635354
ky,11,0.3743243277072906,0.01714672863415501
ky,12,0.3628378450870514,0.021642719799381833
ky,13,0.3574324369430542,0.013240487545917598
ky,14,0.3560810923576355,0.013781135834581328
ky,15,0.34729730486869814,0.01646763951229534
ky,16,0.3358108222484589,0.011624760063488471
ky,17,0.3378378450870514,0.014333241235999406
ky,18,0.34527028203010557,0.009165312355641575
ky,19,0.34932432770729066,0.020560980691608523
ky,20,0.3358108222484589,0.011225162126713272
ky,21,0.33108108639717104,0.013513514399530803
ky,22,0.3182432472705841,0.010768499338703556
ky,23,0.33513514399528505,0.022143195340529775
ky,24,0.33040541410446167,0.00782151036316717
ky,25,0.3554054081439972,0.009165311476819664
ky,26,0.35135136246681214,0.02071583103486059
ky,27,0.3506756782531738,0.017013077654806075
ky,28,0.34797297716140746,0.0060434266960554305
ky,29,0.34662163257598877,0.009697765799595826
ky,30,0.3533783912658691,0.01327492041823162
ky,31,0.3445945978164673,0.010021895929549333
ky,32,0.3439189255237579,0.016328442611348006
ky,33,0.3358108222484589,0.02307212573573928
ky,34,0.3527027130126953,0.025958615849069607
ky,35,0.34527028203010557,0.01632844211805463
ky,36,0.35135136246681214,0.015555220702603949
