layer,tstat_en_ru,pval_en_ru,tstat_en_ky,pval_en_ky,tstat_ru_ky,pval_ru_ky
0,20.3636,3.4e-05,13.4695,0.000176,1.3142,0.259073
1,15.067,0.000113,9.4981,0.000686,0.7027,0.521007
2,3.9627,0.016641,4.3319,0.012331,2.9397,0.0424
3,3.8579,0.01818,7.9705,0.001343,4.7918,0.0087
4,5.1911,0.006556,5.3267,0.005979,1.4924,0.209869
5,2.9748,0.040948,3.9475,0.016853,2.1409,0.098991
6,2.3252,0.080673,6.5014,0.002888,2.7317,0.052354
7,2.7081,0.053641,15.2413,0.000108,5.1614,0.006691
8,2.634,0.057941,13.2857,0.000186,7.9753,0.00134
9,1.6522,0.173835,4.5863,0.010135,3.2674,0.030866
10,2.3982,0.074505,5.7381,0.00457,3.1281,0.035251
11,3.2209,0.032252,7.8242,0.001441,3.0721,0.037218
12,5.5042,0.005314,14.6702,0.000126,4.6932,0.009356
13,4.6363,0.009761,12.1665,0.000262,15.1265,0.000111
14,2.3911,0.075077,6.5427,0.002821,5.7886,0.004426
15,2.6444,0.057317,16.3839,8.1e-05,6.9568,0.002244
16,4.5364,0.010526,13.237,0.000188,5.5088,0.005297
17,3.4674,0.025645,10.8471,0.00041,4.9212,0.007923
18,4.4035,0.011659,5.1796,0.006608,1.385,0.238297
19,2.0142,0.11425,5.1975,0.006527,3.6715,0.021364
20,2.0393,0.111029,6.2488,0.003344,1.0057,0.371453
21,4.612,0.009941,7.0421,0.002143,1.0119,0.368815
22,4.8614,0.008271,2.6895,0.054688,0.3922,0.714924
23,1.7874,0.148403,5.298,0.006096,0.7727,0.482838
24,2.0861,0.105291,2.5487,0.063395,1.4345,0.224739
25,3.0922,0.036496,3.4658,0.025681,0.7638,0.487573
26,6.1496,0.003547,8.6923,0.000964,1.9445,0.123732
27,3.695,0.020926,12.3299,0.000249,2.3811,0.075902
28,3.9139,0.017337,8.4081,0.001095,0.4676,0.66438
29,3.7046,0.020751,8.6607,0.000978,0.4061,0.705459
30,5.3436,0.005911,4.5212,0.010649,-0.1589,0.881457
31,4.3419,0.012235,6.7553,0.002504,0.1765,0.868499
32,3.0935,0.036451,4.9126,0.007972,2.2341,0.089206
33,5.5216,0.005253,4.9036,0.008023,0.2418,0.820807
34,3.652,0.021733,3.4688,0.025612,0.3863,0.718969
35,2.7947,0.049076,2.7698,0.050341,-0.4298,0.689488
36,5.0351,0.007307,8.4505,0.001074,1.934,0.125234
37,7.2532,0.001918,7.7746,0.001476,1.2416,0.282209
38,7.1364,0.002039,6.4739,0.002934,3.9468,0.016864
39,8.0909,0.001268,11.7789,0.000297,6.4046,0.003053
40,16.4932,7.9e-05,23.519,1.9e-05,7.6315,0.001583
41,4.4987,0.010834,5.7482,0.004541,2.0342,0.111679
42,4.0986,0.01487,9.1361,0.000797,3.3054,0.029781
