lang,layer,silhouette
en,0,-0.003897459479048848
en,2,-0.0016930237179622054
en,4,-0.0025749439373612404
en,6,-0.002194089349359274
en,8,-0.005189916118979454
en,10,-0.008392637595534325
en,12,-0.005889530293643475
en,14,-0.00677326088771224
en,16,-0.015043764375150204
en,18,-0.013283208012580872
en,20,-0.016458844766020775
en,22,-0.01832033507525921
en,24,-0.012860269285738468
en,26,-0.015400882810354233
en,28,-0.01254756934940815
en,30,-0.012247342616319656
en,32,-0.007406391203403473
en,34,-0.0072322930209338665
en,36,-0.005607842467725277
en,38,-0.005973896011710167
en,40,-0.005729826167225838
en,42,-0.004612135700881481
ru,0,-0.0062353722751140594
ru,2,-0.005467208102345467
ru,4,-0.004338582046329975
ru,6,-0.0021412724163383245
ru,8,-0.0063102636486291885
ru,10,-0.008972912095487118
ru,12,-0.008584905415773392
ru,14,-0.011559479869902134
ru,16,-0.017105408012866974
ru,18,-0.015735521912574768
ru,20,-0.018215622752904892
ru,22,-0.01656663976609707
ru,24,-0.015664996579289436
ru,26,-0.01621350087225437
ru,28,-0.013221094384789467
ru,30,-0.011537939310073853
ru,32,-0.011229480616748333
ru,34,-0.010424388572573662
ru,36,-0.009059794247150421
ru,38,-0.009468424133956432
ru,40,-0.006706235930323601
ru,42,-0.007031962275505066
ky,0,-0.0025243167765438557
ky,2,-0.008878815919160843
ky,4,-0.0055562593042850494
ky,6,-0.005569019354879856
ky,8,-0.01350986398756504
ky,10,-0.01360084768384695
ky,12,-0.015834059566259384
ky,14,-0.017183734104037285
ky,16,-0.01588819921016693
ky,18,-0.017126785591244698
ky,20,-0.01801210455596447
ky,22,-0.014969026669859886
ky,24,-0.01543447282165289
ky,26,-0.015796037390828133
ky,28,-0.017628377303481102
ky,30,-0.013929902575910091
ky,32,-0.010167309083044529
ky,34,-0.011670747771859169
ky,36,-0.010845724493265152
ky,38,-0.010797493159770966
ky,40,-0.009256986901164055
ky,42,-0.008085180073976517
