lang,layer,silhouette,model
en,0,-0.00389746,Gemma 4 E4B
en,2,-0.0016930241,Gemma 4 E4B
en,4,-0.0025749449,Gemma 4 E4B
en,6,-0.002194087,Gemma 4 E4B
en,8,-0.0051899157,Gemma 4 E4B
en,10,-0.0083926385,Gemma 4 E4B
en,12,-0.0058895303,Gemma 4 E4B
en,14,-0.0067732604,Gemma 4 E4B
en,16,-0.015043763,Gemma 4 E4B
en,18,-0.013283208,Gemma 4 E4B
en,20,-0.016458847,Gemma 4 E4B
en,22,-0.018320335,Gemma 4 E4B
en,24,-0.01286027,Gemma 4 E4B
en,26,-0.015400885,Gemma 4 E4B
en,28,-0.012547568,Gemma 4 E4B
en,30,-0.012247345,Gemma 4 E4B
en,32,-0.007406391,Gemma 4 E4B
en,34,-0.007232292,Gemma 4 E4B
en,36,-0.005607844,Gemma 4 E4B
en,38,-0.005973894,Gemma 4 E4B
en,40,-0.005729827,Gemma 4 E4B
en,42,-0.004612134,Gemma 4 E4B
ru,0,-0.0062353727,Gemma 4 E4B
ru,2,-0.0054672076,Gemma 4 E4B
ru,4,-0.004338583,Gemma 4 E4B
ru,6,-0.0021412708,Gemma 4 E4B
ru,8,-0.0063102627,Gemma 4 E4B
ru,10,-0.008972912,Gemma 4 E4B
ru,12,-0.008584905,Gemma 4 E4B
ru,14,-0.011559478,Gemma 4 E4B
ru,16,-0.017105408,Gemma 4 E4B
ru,18,-0.015735522,Gemma 4 E4B
ru,20,-0.018215623,Gemma 4 E4B
ru,22,-0.01656664,Gemma 4 E4B
ru,24,-0.015665,Gemma 4 E4B
ru,26,-0.0162135,Gemma 4 E4B
ru,28,-0.013221093,Gemma 4 E4B
ru,30,-0.011537938,Gemma 4 E4B
ru,32,-0.0112294825,Gemma 4 E4B
ru,34,-0.010424388,Gemma 4 E4B
ru,36,-0.009059793,Gemma 4 E4B
ru,38,-0.009468422,Gemma 4 E4B
ru,40,-0.006706236,Gemma 4 E4B
ru,42,-0.007031964,Gemma 4 E4B
ky,0,-0.0025243184,Gemma 4 E4B
ky,2,-0.008878814,Gemma 4 E4B
ky,4,-0.0055562593,Gemma 4 E4B
ky,6,-0.0055690194,Gemma 4 E4B
ky,8,-0.013509863,Gemma 4 E4B
ky,10,-0.013600848,Gemma 4 E4B
ky,12,-0.015834063,Gemma 4 E4B
ky,14,-0.017183736,Gemma 4 E4B
ky,16,-0.015888203,Gemma 4 E4B
ky,18,-0.01712679,Gemma 4 E4B
ky,20,-0.018012105,Gemma 4 E4B
ky,22,-0.0149690285,Gemma 4 E4B
ky,24,-0.015434471,Gemma 4 E4B
ky,26,-0.015796037,Gemma 4 E4B
ky,28,-0.017628377,Gemma 4 E4B
ky,30,-0.013929905,Gemma 4 E4B
ky,32,-0.010167309,Gemma 4 E4B
ky,34,-0.011670748,Gemma 4 E4B
ky,36,-0.0108457245,Gemma 4 E4B
ky,38,-0.010797493,Gemma 4 E4B
ky,40,-0.009256987,Gemma 4 E4B
ky,42,-0.008085182,Gemma 4 E4B
en,0,-0.003967416,Qwen3-8B
en,2,-0.0008447346,Qwen3-8B
en,4,-0.0019447339,Qwen3-8B
en,6,-0.0009814452,Qwen3-8B
en,8,-0.005456948,Qwen3-8B
en,10,0.0008730586,Qwen3-8B
en,12,0.00010318461,Qwen3-8B
en,14,-0.0020864492,Qwen3-8B
en,16,-0.0040684156,Qwen3-8B
en,18,-0.0024718037,Qwen3-8B
en,20,-0.0032952297,Qwen3-8B
en,22,0.0006562153,Qwen3-8B
en,24,0.0032679313,Qwen3-8B
en,26,0.0036123926,Qwen3-8B
en,28,0.0019073052,Qwen3-8B
en,30,-0.00049837236,Qwen3-8B
en,32,0.00012537843,Qwen3-8B
en,34,-0.0002882343,Qwen3-8B
en,36,-0.0033515769,Qwen3-8B
ru,0,-0.0055865487,Qwen3-8B
ru,2,-0.0045574,Qwen3-8B
ru,4,0.00037722793,Qwen3-8B
ru,6,-0.001637381,Qwen3-8B
ru,8,-0.0005155145,Qwen3-8B
ru,10,-0.0011500318,Qwen3-8B
ru,12,0.0016446986,Qwen3-8B
ru,14,-0.002172643,Qwen3-8B
ru,16,-0.002280283,Qwen3-8B
ru,18,-0.0034236216,Qwen3-8B
ru,20,-0.0008560406,Qwen3-8B
ru,22,-0.0011280396,Qwen3-8B
ru,24,-0.00044609857,Qwen3-8B
ru,26,0.0013639922,Qwen3-8B
ru,28,-0.00017264027,Qwen3-8B
ru,30,-0.0017015538,Qwen3-8B
ru,32,-0.001549059,Qwen3-8B
ru,34,-0.002910289,Qwen3-8B
ru,36,-0.0024194883,Qwen3-8B
ky,0,-0.011161464,Qwen3-8B
ky,2,-0.015652904,Qwen3-8B
ky,4,-0.015405927,Qwen3-8B
ky,6,-0.00958449,Qwen3-8B
ky,8,-0.0061746617,Qwen3-8B
ky,10,-0.008238564,Qwen3-8B
ky,12,-0.008579415,Qwen3-8B
ky,14,-0.012622242,Qwen3-8B
ky,16,-0.015868371,Qwen3-8B
ky,18,-0.013453593,Qwen3-8B
ky,20,-0.013671331,Qwen3-8B
ky,22,-0.011168663,Qwen3-8B
ky,24,-0.008741457,Qwen3-8B
ky,26,-0.011517223,Qwen3-8B
ky,28,-0.012651179,Qwen3-8B
ky,30,-0.018572137,Qwen3-8B
ky,32,-0.015013327,Qwen3-8B
ky,34,-0.011291055,Qwen3-8B
ky,36,-0.0185303,Qwen3-8B
en,0,0.00038669596,Llama-3.1-8B
en,2,-0.016504627,Llama-3.1-8B
en,4,-0.0034525022,Llama-3.1-8B
en,6,0.00016358498,Llama-3.1-8B
en,8,-0.001716244,Llama-3.1-8B
en,10,-0.0003683115,Llama-3.1-8B
en,12,-0.0008651008,Llama-3.1-8B
en,14,-0.00089757174,Llama-3.1-8B
en,16,0.0025571513,Llama-3.1-8B
en,18,0.0019134558,Llama-3.1-8B
en,20,0.00032209855,Llama-3.1-8B
en,22,0.0027835176,Llama-3.1-8B
en,24,0.0015152161,Llama-3.1-8B
en,26,0.00077595096,Llama-3.1-8B
en,28,-0.0012100876,Llama-3.1-8B
en,30,-0.004198401,Llama-3.1-8B
en,32,-0.007276782,Llama-3.1-8B
ru,0,-0.0040586605,Llama-3.1-8B
ru,2,-0.012358521,Llama-3.1-8B
ru,4,-0.0021967932,Llama-3.1-8B
ru,6,-0.0016041195,Llama-3.1-8B
ru,8,0.0012390801,Llama-3.1-8B
ru,10,-0.0020920509,Llama-3.1-8B
ru,12,-0.00077077537,Llama-3.1-8B
ru,14,-0.001186483,Llama-3.1-8B
ru,16,0.0004280759,Llama-3.1-8B
ru,18,-0.0005167241,Llama-3.1-8B
ru,20,-0.0009253996,Llama-3.1-8B
ru,22,-0.0023702474,Llama-3.1-8B
ru,24,-0.0034437643,Llama-3.1-8B
ru,26,-0.0044798385,Llama-3.1-8B
ru,28,-0.0076258825,Llama-3.1-8B
ru,30,-0.004961029,Llama-3.1-8B
ru,32,-0.004963076,Llama-3.1-8B
ky,0,-0.015410851,Llama-3.1-8B
ky,2,-0.0191182,Llama-3.1-8B
ky,4,-0.008621201,Llama-3.1-8B
ky,6,-0.0071955947,Llama-3.1-8B
ky,8,-0.008932537,Llama-3.1-8B
ky,10,-0.00984044,Llama-3.1-8B
ky,12,-0.012437529,Llama-3.1-8B
ky,14,-0.0123191755,Llama-3.1-8B
ky,16,-0.008617718,Llama-3.1-8B
ky,18,-0.007900191,Llama-3.1-8B
ky,20,-0.009133635,Llama-3.1-8B
ky,22,-0.014912908,Llama-3.1-8B
ky,24,-0.016475782,Llama-3.1-8B
ky,26,-0.020989247,Llama-3.1-8B
ky,28,-0.021306632,Llama-3.1-8B
ky,30,-0.018221932,Llama-3.1-8B
ky,32,-0.01555265,Llama-3.1-8B
en,0,-0.0018412934,Mistral-7B
en,2,-0.060123153,Mistral-7B
en,4,-0.028672239,Mistral-7B
en,6,-0.008414154,Mistral-7B
en,8,-0.0033963944,Mistral-7B
en,10,7.08808e-05,Mistral-7B
en,12,-0.0010575566,Mistral-7B
en,14,-0.0005886501,Mistral-7B
en,16,0.0017293084,Mistral-7B
en,18,0.0014525856,Mistral-7B
en,20,0.0011711514,Mistral-7B
en,22,0.0033910703,Mistral-7B
en,24,0.0035979694,Mistral-7B
en,26,0.00237486,Mistral-7B
en,28,0.00041840933,Mistral-7B
en,30,-0.0023567895,Mistral-7B
en,32,-0.001628939,Mistral-7B
ru,0,-0.0061858813,Mistral-7B
ru,2,-0.037847426,Mistral-7B
ru,4,-0.012439154,Mistral-7B
ru,6,-0.0055179987,Mistral-7B
ru,8,-0.000242993,Mistral-7B
ru,10,-0.0028493474,Mistral-7B
ru,12,-0.0012234701,Mistral-7B
ru,14,-0.0018887925,Mistral-7B
ru,16,-0.00039009677,Mistral-7B
ru,18,-0.002273397,Mistral-7B
ru,20,-0.0019092666,Mistral-7B
ru,22,-0.0038902569,Mistral-7B
ru,24,-0.0023641486,Mistral-7B
ru,26,-0.0018462741,Mistral-7B
ru,28,-0.005243893,Mistral-7B
ru,30,-0.004453249,Mistral-7B
ru,32,-0.0061859544,Mistral-7B
ky,0,-0.011779616,Mistral-7B
ky,2,-0.047097553,Mistral-7B
ky,4,-0.017598424,Mistral-7B
ky,6,-0.013781775,Mistral-7B
ky,8,-0.015541901,Mistral-7B
ky,10,-0.020734347,Mistral-7B
ky,12,-0.023122368,Mistral-7B
ky,14,-0.025052277,Mistral-7B
ky,16,-0.018933479,Mistral-7B
ky,18,-0.017936418,Mistral-7B
ky,20,-0.019370528,Mistral-7B
ky,22,-0.026506918,Mistral-7B
ky,24,-0.030845629,Mistral-7B
ky,26,-0.02640207,Mistral-7B
ky,28,-0.024162116,Mistral-7B
ky,30,-0.02387785,Mistral-7B
ky,32,-0.020585582,Mistral-7B
en,0,-0.008916511,XLM-R-large
en,2,-0.0067861155,XLM-R-large
en,4,-0.008171207,XLM-R-large
en,6,-0.011613295,XLM-R-large
en,8,-0.016116323,XLM-R-large
en,10,-0.005876272,XLM-R-large
en,12,-0.00224787,XLM-R-large
en,14,-0.0024108829,XLM-R-large
en,16,-0.0012116161,XLM-R-large
en,18,-0.0020283856,XLM-R-large
en,20,-0.007807039,XLM-R-large
en,22,-0.006789101,XLM-R-large
en,24,-0.008883403,XLM-R-large
ru,0,-0.017642811,XLM-R-large
ru,2,-0.008730282,XLM-R-large
ru,4,-0.00982062,XLM-R-large
ru,6,-0.012470997,XLM-R-large
ru,8,-0.013618702,XLM-R-large
ru,10,-0.010115396,XLM-R-large
ru,12,-0.0063800057,XLM-R-large
ru,14,-0.00528555,XLM-R-large
ru,16,-0.0031356753,XLM-R-large
ru,18,-0.0054187593,XLM-R-large
ru,20,-0.0067361887,XLM-R-large
ru,22,-0.012133804,XLM-R-large
ru,24,-0.009409833,XLM-R-large
ky,0,-0.010342188,XLM-R-large
ky,2,-0.008185892,XLM-R-large
ky,4,-0.0054831267,XLM-R-large
ky,6,-0.008640409,XLM-R-large
ky,8,-0.013860177,XLM-R-large
ky,10,-0.008272584,XLM-R-large
ky,12,-0.008312057,XLM-R-large
ky,14,-0.009980588,XLM-R-large
ky,16,-0.008476531,XLM-R-large
ky,18,-0.008293694,XLM-R-large
ky,20,-0.011062669,XLM-R-large
ky,22,-0.011805842,XLM-R-large
ky,24,-0.012740994,XLM-R-large
