model,direction,accuracy,ci_lower,ci_upper
Gemma 4 E4B,EN→RU,0.564,0.538,0.589
Gemma 4 E4B,EN→KY,0.328,0.304,0.352
Gemma 4 E4B,RU→EN,0.561,0.535,0.586
Gemma 4 E4B,RU→KY,0.378,0.352,0.402
Gemma 4 E4B,KY→EN,0.389,0.365,0.414
Gemma 4 E4B,KY→RU,0.388,0.364,0.412
Qwen3-8B,EN→RU,0.74,0.718,0.762
Qwen3-8B,EN→KY,0.366,0.341,0.391
Qwen3-8B,RU→EN,0.718,0.695,0.741
Qwen3-8B,RU→KY,0.353,0.33,0.377
Qwen3-8B,KY→EN,0.447,0.422,0.473
Qwen3-8B,KY→RU,0.477,0.451,0.502
Mistral-7B,EN→RU,0.628,0.603,0.651
Mistral-7B,EN→KY,0.238,0.216,0.259
Mistral-7B,RU→EN,0.734,0.711,0.756
Mistral-7B,RU→KY,0.255,0.233,0.278
Mistral-7B,KY→EN,0.297,0.274,0.32
Mistral-7B,KY→RU,0.33,0.306,0.354
Llama-3.1-8B,EN→RU,0.737,0.714,0.759
Llama-3.1-8B,EN→KY,0.393,0.368,0.419
Llama-3.1-8B,RU→EN,0.765,0.743,0.786
Llama-3.1-8B,RU→KY,0.422,0.397,0.447
Llama-3.1-8B,KY→EN,0.441,0.416,0.466
Llama-3.1-8B,KY→RU,0.472,0.447,0.497
