model,lang,layer,true,pred,count,row_share
Gemma 4 E4B,EN,0,anger,anger,87,0.3783
Gemma 4 E4B,EN,0,anger,disgust,44,0.1913
Gemma 4 E4B,EN,0,anger,fear,12,0.0522
Gemma 4 E4B,EN,0,anger,joy,9,0.0391
Gemma 4 E4B,EN,0,anger,sadness,52,0.2261
Gemma 4 E4B,EN,0,anger,surprise,26,0.113
Gemma 4 E4B,EN,0,disgust,anger,36,0.144
Gemma 4 E4B,EN,0,disgust,disgust,145,0.58
Gemma 4 E4B,EN,0,disgust,fear,20,0.08
Gemma 4 E4B,EN,0,disgust,joy,13,0.052
Gemma 4 E4B,EN,0,disgust,sadness,18,0.072
Gemma 4 E4B,EN,0,disgust,surprise,18,0.072
Gemma 4 E4B,EN,0,fear,anger,8,0.032
Gemma 4 E4B,EN,0,fear,disgust,20,0.08
Gemma 4 E4B,EN,0,fear,fear,188,0.752
Gemma 4 E4B,EN,0,fear,joy,9,0.036
Gemma 4 E4B,EN,0,fear,sadness,16,0.064
Gemma 4 E4B,EN,0,fear,surprise,9,0.036
Gemma 4 E4B,EN,0,joy,anger,16,0.064
Gemma 4 E4B,EN,0,joy,disgust,5,0.02
Gemma 4 E4B,EN,0,joy,fear,5,0.02
Gemma 4 E4B,EN,0,joy,joy,193,0.772
Gemma 4 E4B,EN,0,joy,sadness,13,0.052
Gemma 4 E4B,EN,0,joy,surprise,18,0.072
Gemma 4 E4B,EN,0,sadness,anger,42,0.168
Gemma 4 E4B,EN,0,sadness,disgust,20,0.08
Gemma 4 E4B,EN,0,sadness,fear,12,0.048
Gemma 4 E4B,EN,0,sadness,joy,14,0.056
Gemma 4 E4B,EN,0,sadness,sadness,133,0.532
Gemma 4 E4B,EN,0,sadness,surprise,29,0.116
Gemma 4 E4B,EN,0,surprise,anger,37,0.148
Gemma 4 E4B,EN,0,surprise,disgust,16,0.064
Gemma 4 E4B,EN,0,surprise,fear,8,0.032
Gemma 4 E4B,EN,0,surprise,joy,16,0.064
Gemma 4 E4B,EN,0,surprise,sadness,26,0.104
Gemma 4 E4B,EN,0,surprise,surprise,147,0.588
Gemma 4 E4B,RU,7,anger,anger,85,0.3696
Gemma 4 E4B,RU,7,anger,disgust,38,0.1652
Gemma 4 E4B,RU,7,anger,fear,24,0.1043
Gemma 4 E4B,RU,7,anger,joy,15,0.0652
Gemma 4 E4B,RU,7,anger,sadness,28,0.1217
Gemma 4 E4B,RU,7,anger,surprise,40,0.1739
Gemma 4 E4B,RU,7,disgust,anger,32,0.128
Gemma 4 E4B,RU,7,disgust,disgust,113,0.452
Gemma 4 E4B,RU,7,disgust,fear,36,0.144
Gemma 4 E4B,RU,7,disgust,joy,17,0.068
Gemma 4 E4B,RU,7,disgust,sadness,34,0.136
Gemma 4 E4B,RU,7,disgust,surprise,18,0.072
Gemma 4 E4B,RU,7,fear,anger,21,0.084
Gemma 4 E4B,RU,7,fear,disgust,34,0.136
Gemma 4 E4B,RU,7,fear,fear,143,0.572
Gemma 4 E4B,RU,7,fear,joy,15,0.06
Gemma 4 E4B,RU,7,fear,sadness,22,0.088
Gemma 4 E4B,RU,7,fear,surprise,15,0.06
Gemma 4 E4B,RU,7,joy,anger,23,0.092
Gemma 4 E4B,RU,7,joy,disgust,12,0.048
Gemma 4 E4B,RU,7,joy,fear,9,0.036
Gemma 4 E4B,RU,7,joy,joy,154,0.616
Gemma 4 E4B,RU,7,joy,sadness,19,0.076
Gemma 4 E4B,RU,7,joy,surprise,33,0.132
Gemma 4 E4B,RU,7,sadness,anger,33,0.132
Gemma 4 E4B,RU,7,sadness,disgust,27,0.108
Gemma 4 E4B,RU,7,sadness,fear,17,0.068
Gemma 4 E4B,RU,7,sadness,joy,21,0.084
Gemma 4 E4B,RU,7,sadness,sadness,123,0.492
Gemma 4 E4B,RU,7,sadness,surprise,29,0.116
Gemma 4 E4B,RU,7,surprise,anger,35,0.14
Gemma 4 E4B,RU,7,surprise,disgust,16,0.064
Gemma 4 E4B,RU,7,surprise,fear,18,0.072
Gemma 4 E4B,RU,7,surprise,joy,20,0.08
Gemma 4 E4B,RU,7,surprise,sadness,27,0.108
Gemma 4 E4B,RU,7,surprise,surprise,134,0.536
Gemma 4 E4B,KY,4,anger,anger,61,0.2652
Gemma 4 E4B,KY,4,anger,disgust,40,0.1739
Gemma 4 E4B,KY,4,anger,fear,32,0.1391
Gemma 4 E4B,KY,4,anger,joy,21,0.0913
Gemma 4 E4B,KY,4,anger,sadness,33,0.1435
Gemma 4 E4B,KY,4,anger,surprise,43,0.187
Gemma 4 E4B,KY,4,disgust,anger,35,0.14
Gemma 4 E4B,KY,4,disgust,disgust,121,0.484
Gemma 4 E4B,KY,4,disgust,fear,31,0.124
Gemma 4 E4B,KY,4,disgust,joy,18,0.072
Gemma 4 E4B,KY,4,disgust,sadness,24,0.096
Gemma 4 E4B,KY,4,disgust,surprise,21,0.084
Gemma 4 E4B,KY,4,fear,anger,27,0.108
Gemma 4 E4B,KY,4,fear,disgust,42,0.168
Gemma 4 E4B,KY,4,fear,fear,121,0.484
Gemma 4 E4B,KY,4,fear,joy,15,0.06
Gemma 4 E4B,KY,4,fear,sadness,30,0.12
Gemma 4 E4B,KY,4,fear,surprise,15,0.06
Gemma 4 E4B,KY,4,joy,anger,26,0.104
Gemma 4 E4B,KY,4,joy,disgust,13,0.052
Gemma 4 E4B,KY,4,joy,fear,17,0.068
Gemma 4 E4B,KY,4,joy,joy,149,0.596
Gemma 4 E4B,KY,4,joy,sadness,20,0.08
Gemma 4 E4B,KY,4,joy,surprise,25,0.1
Gemma 4 E4B,KY,4,sadness,anger,37,0.148
Gemma 4 E4B,KY,4,sadness,disgust,27,0.108
Gemma 4 E4B,KY,4,sadness,fear,19,0.076
Gemma 4 E4B,KY,4,sadness,joy,22,0.088
Gemma 4 E4B,KY,4,sadness,sadness,108,0.432
Gemma 4 E4B,KY,4,sadness,surprise,37,0.148
Gemma 4 E4B,KY,4,surprise,anger,43,0.172
Gemma 4 E4B,KY,4,surprise,disgust,15,0.06
Gemma 4 E4B,KY,4,surprise,fear,24,0.096
Gemma 4 E4B,KY,4,surprise,joy,25,0.1
Gemma 4 E4B,KY,4,surprise,sadness,32,0.128
Gemma 4 E4B,KY,4,surprise,surprise,111,0.444
Qwen3-8B,EN,10,anger,anger,105,0.4565
Qwen3-8B,EN,10,anger,disgust,36,0.1565
Qwen3-8B,EN,10,anger,fear,14,0.0609
Qwen3-8B,EN,10,anger,joy,8,0.0348
Qwen3-8B,EN,10,anger,sadness,34,0.1478
Qwen3-8B,EN,10,anger,surprise,33,0.1435
Qwen3-8B,EN,10,disgust,anger,43,0.172
Qwen3-8B,EN,10,disgust,disgust,136,0.544
Qwen3-8B,EN,10,disgust,fear,28,0.112
Qwen3-8B,EN,10,disgust,joy,7,0.028
Qwen3-8B,EN,10,disgust,sadness,17,0.068
Qwen3-8B,EN,10,disgust,surprise,19,0.076
Qwen3-8B,EN,10,fear,anger,10,0.04
Qwen3-8B,EN,10,fear,disgust,30,0.12
Qwen3-8B,EN,10,fear,fear,176,0.704
Qwen3-8B,EN,10,fear,joy,9,0.036
Qwen3-8B,EN,10,fear,sadness,13,0.052
Qwen3-8B,EN,10,fear,surprise,12,0.048
Qwen3-8B,EN,10,joy,anger,9,0.036
Qwen3-8B,EN,10,joy,disgust,6,0.024
Qwen3-8B,EN,10,joy,fear,4,0.016
Qwen3-8B,EN,10,joy,joy,186,0.744
Qwen3-8B,EN,10,joy,sadness,14,0.056
Qwen3-8B,EN,10,joy,surprise,31,0.124
Qwen3-8B,EN,10,sadness,anger,26,0.104
Qwen3-8B,EN,10,sadness,disgust,28,0.112
Qwen3-8B,EN,10,sadness,fear,15,0.06
Qwen3-8B,EN,10,sadness,joy,15,0.06
Qwen3-8B,EN,10,sadness,sadness,146,0.584
Qwen3-8B,EN,10,sadness,surprise,20,0.08
Qwen3-8B,EN,10,surprise,anger,35,0.14
Qwen3-8B,EN,10,surprise,disgust,18,0.072
Qwen3-8B,EN,10,surprise,fear,7,0.028
Qwen3-8B,EN,10,surprise,joy,24,0.096
Qwen3-8B,EN,10,surprise,sadness,19,0.076
Qwen3-8B,EN,10,surprise,surprise,147,0.588
Qwen3-8B,RU,11,anger,anger,97,0.4217
Qwen3-8B,RU,11,anger,disgust,39,0.1696
Qwen3-8B,RU,11,anger,fear,10,0.0435
Qwen3-8B,RU,11,anger,joy,14,0.0609
Qwen3-8B,RU,11,anger,sadness,37,0.1609
Qwen3-8B,RU,11,anger,surprise,33,0.1435
Qwen3-8B,RU,11,disgust,anger,35,0.14
Qwen3-8B,RU,11,disgust,disgust,134,0.536
Qwen3-8B,RU,11,disgust,fear,33,0.132
Qwen3-8B,RU,11,disgust,joy,13,0.052
Qwen3-8B,RU,11,disgust,sadness,23,0.092
Qwen3-8B,RU,11,disgust,surprise,12,0.048
Qwen3-8B,RU,11,fear,anger,15,0.06
Qwen3-8B,RU,11,fear,disgust,28,0.112
Qwen3-8B,RU,11,fear,fear,162,0.648
Qwen3-8B,RU,11,fear,joy,5,0.02
Qwen3-8B,RU,11,fear,sadness,22,0.088
Qwen3-8B,RU,11,fear,surprise,18,0.072
Qwen3-8B,RU,11,joy,anger,14,0.056
Qwen3-8B,RU,11,joy,disgust,10,0.04
Qwen3-8B,RU,11,joy,fear,7,0.028
Qwen3-8B,RU,11,joy,joy,192,0.768
Qwen3-8B,RU,11,joy,sadness,5,0.02
Qwen3-8B,RU,11,joy,surprise,22,0.088
Qwen3-8B,RU,11,sadness,anger,31,0.124
Qwen3-8B,RU,11,sadness,disgust,18,0.072
Qwen3-8B,RU,11,sadness,fear,17,0.068
Qwen3-8B,RU,11,sadness,joy,14,0.056
Qwen3-8B,RU,11,sadness,sadness,137,0.548
Qwen3-8B,RU,11,sadness,surprise,33,0.132
Qwen3-8B,RU,11,surprise,anger,35,0.14
Qwen3-8B,RU,11,surprise,disgust,21,0.084
Qwen3-8B,RU,11,surprise,fear,16,0.064
Qwen3-8B,RU,11,surprise,joy,21,0.084
Qwen3-8B,RU,11,surprise,sadness,17,0.068
Qwen3-8B,RU,11,surprise,surprise,140,0.56
Qwen3-8B,KY,9,anger,anger,82,0.3565
Qwen3-8B,KY,9,anger,disgust,33,0.1435
Qwen3-8B,KY,9,anger,fear,18,0.0783
Qwen3-8B,KY,9,anger,joy,23,0.1
Qwen3-8B,KY,9,anger,sadness,43,0.187
Qwen3-8B,KY,9,anger,surprise,31,0.1348
