model,lang,pair,rate
Gemma 4 E4B,EN,anger-disgust,0.1667
Gemma 4 E4B,EN,anger-fear,0.0417
Gemma 4 E4B,EN,anger-joy,0.0521
Gemma 4 E4B,EN,anger-sadness,0.1958
Gemma 4 E4B,EN,anger-surprise,0.1312
Gemma 4 E4B,EN,disgust-fear,0.08
Gemma 4 E4B,EN,disgust-joy,0.036
Gemma 4 E4B,EN,disgust-sadness,0.076
Gemma 4 E4B,EN,disgust-surprise,0.068
Gemma 4 E4B,EN,fear-joy,0.028
Gemma 4 E4B,EN,fear-sadness,0.056
Gemma 4 E4B,EN,fear-surprise,0.034
Gemma 4 E4B,EN,joy-sadness,0.054
Gemma 4 E4B,EN,joy-surprise,0.068
Gemma 4 E4B,EN,sadness-surprise,0.11
Gemma 4 E4B,RU,anger-disgust,0.1458
Gemma 4 E4B,RU,anger-fear,0.0938
Gemma 4 E4B,RU,anger-joy,0.0792
Gemma 4 E4B,RU,anger-sadness,0.1271
Gemma 4 E4B,RU,anger-surprise,0.1562
Gemma 4 E4B,RU,disgust-fear,0.14
Gemma 4 E4B,RU,disgust-joy,0.058
Gemma 4 E4B,RU,disgust-sadness,0.122
Gemma 4 E4B,RU,disgust-surprise,0.068
Gemma 4 E4B,RU,fear-joy,0.048
Gemma 4 E4B,RU,fear-sadness,0.078
Gemma 4 E4B,RU,fear-surprise,0.066
Gemma 4 E4B,RU,joy-sadness,0.08
Gemma 4 E4B,RU,joy-surprise,0.106
Gemma 4 E4B,RU,sadness-surprise,0.112
Gemma 4 E4B,KY,anger-disgust,0.1562
Gemma 4 E4B,KY,anger-fear,0.1229
Gemma 4 E4B,KY,anger-joy,0.0979
Gemma 4 E4B,KY,anger-sadness,0.1458
Gemma 4 E4B,KY,anger-surprise,0.1792
Gemma 4 E4B,KY,disgust-fear,0.146
Gemma 4 E4B,KY,disgust-joy,0.062
Gemma 4 E4B,KY,disgust-sadness,0.102
Gemma 4 E4B,KY,disgust-surprise,0.072
Gemma 4 E4B,KY,fear-joy,0.064
Gemma 4 E4B,KY,fear-sadness,0.098
