pair,EN,RU,KY,mean
anger-disgust,0.1684,0.1542,0.1533,0.1586
anger-surprise,0.1375,0.145,0.1596,0.1474
anger-sadness,0.1475,0.1371,0.1483,0.1443
disgust-fear,0.0944,0.1352,0.156,0.1285
sadness-surprise,0.0972,0.1016,0.134,0.1109
joy-surprise,0.0916,0.1024,0.1088,0.1009
disgust-sadness,0.0824,0.098,0.1008,0.0937
fear-sadness,0.0608,0.0792,0.0948,0.0783
disgust-surprise,0.0664,0.0744,0.0824,0.0744
anger-fear,0.0542,0.0733,0.0883,0.0719
joy-sadness,0.0536,0.0608,0.0912,0.0685
fear-surprise,0.05,0.0704,0.082,0.0675
anger-joy,0.045,0.06,0.0867,0.0639
disgust-joy,0.0344,0.0468,0.062,0.0477
fear-joy,0.0256,0.04,0.0616,0.0424
