model,eta_cc,ci_lo,ci_hi,comparison,delta_eta_cc,p_two_sided
XLM-R,0.7105,0.6081,0.8252,,,
Qwen3,0.4602,0.3912,0.5348,,,
Llama-3.1,0.4867,0.3995,0.5828,,,
Gemma 4,0.371,0.2814,0.4738,,,
Mistral,0.198,0.1292,0.2689,,,
mBERT,0.3897,0.1105,0.8544,,,
OLMo-2,0.0536,-0.0257,0.1323,,,
Qwen2.5,0.2776,0.2067,0.3498,,,
,,0.1251,0.3865,XLM-R vs Qwen3,0.2503,0.0002
,,0.0837,0.3685,XLM-R vs Llama-3.1,0.2238,0.002
,,0.1918,0.4892,XLM-R vs Gemma 4,0.3394,0.0
,,0.3994,0.6353,XLM-R vs Mistral,0.5125,0.0
,,-0.139,0.6142,XLM-R vs mBERT,0.3208,0.13
,,0.5349,0.7925,XLM-R vs OLMo-2,0.6568,0.0
,,0.3123,0.5612,XLM-R vs Qwen2.5,0.4329,0.0
