model,direction,layer,acc_claude,acc_human,delta,ci_lo,ci_hi,p
Gemma 4,en->ru,7,0.4608,0.4412,0.0196,0.0,0.049,0.2616
Gemma 4,en->ky,9,0.2353,0.2451,-0.0098,-0.0493,0.0294,0.831
Qwen3,en->ru,15,0.5294,0.5392,-0.0098,-0.0294,0.0,0.7456
Qwen3,en->ky,12,0.2745,0.2941,-0.0196,-0.0686,0.0294,0.541
Llama 3.1,en->ru,9,0.5294,0.5294,0.0,0.0,0.0,1.0
Llama 3.1,en->ky,14,0.2745,0.2451,0.0294,-0.0392,0.098,0.4884
Mistral,en->ru,9,0.4706,0.4706,0.0,0.0,0.0,1.0
Mistral,en->ky,21,0.2353,0.2255,0.0098,-0.049,0.0686,0.8736
XLM-R,en->ru,15,0.3725,0.3627,0.0098,0.0,0.0294,0.7262
XLM-R,en->ky,12,0.3529,0.3529,0.0,-0.0686,0.0686,1.0
