model,bin,n,accuracy
Gemma 4 E4B,1-5,242,0.649
Gemma 4 E4B,6-10,362,0.627
Gemma 4 E4B,11-15,369,0.615
Gemma 4 E4B,16-20,266,0.556
Gemma 4 E4B,21-100,241,0.531
Qwen3-8B,1-5,242,0.653
Qwen3-8B,6-10,362,0.635
Qwen3-8B,11-15,369,0.631
Qwen3-8B,16-20,266,0.534
Qwen3-8B,21-100,241,0.577
Mistral-7B,1-5,242,0.715
Mistral-7B,6-10,362,0.627
Mistral-7B,11-15,369,0.626
Mistral-7B,16-20,266,0.545
Mistral-7B,21-100,241,0.548
Llama-3.1-8B,1-5,242,0.69
Llama-3.1-8B,6-10,362,0.638
Llama-3.1-8B,11-15,369,0.621
Llama-3.1-8B,16-20,266,0.609
Llama-3.1-8B,21-100,241,0.577
