model,lang,layer,linear_acc,mlp_acc,control_acc,selectivity,mlp_gap
Gemma 4 E4B,EN,0,0.593,0.61,0.189,0.404,0.017
Gemma 4 E4B,RU,6,0.507,0.553,0.166,0.341,0.047
Gemma 4 E4B,KY,4,0.455,0.472,0.157,0.297,0.018
Qwen3-8B,EN,9,0.601,0.597,0.157,0.443,-0.003
Qwen3-8B,RU,11,0.598,0.599,0.164,0.434,0.001
Qwen3-8B,KY,27,0.466,0.48,0.174,0.292,0.014
Mistral-7B,EN,5,0.617,0.618,0.157,0.459,0.001
Mistral-7B,RU,9,0.564,0.576,0.169,0.395,0.013
Mistral-7B,KY,2,0.445,0.45,0.171,0.274,0.005
Llama-3.1-8B,EN,1,0.624,0.645,0.167,0.457,0.02
Llama-3.1-8B,RU,7,0.566,0.592,0.174,0.392,0.026
Llama-3.1-8B,KY,3,0.472,0.481,0.167,0.305,0.009
