model,layer,pair,procrustes_sim
Gemma 4 E4B,0,EN–RU,0.836
Gemma 4 E4B,0,EN–KY,0.778
Gemma 4 E4B,0,RU–KY,0.7818
Gemma 4 E4B,1,EN–RU,0.6837
Gemma 4 E4B,1,EN–KY,0.6174
Gemma 4 E4B,1,RU–KY,0.6306
Gemma 4 E4B,2,EN–RU,0.6908
Gemma 4 E4B,2,EN–KY,0.6365
Gemma 4 E4B,2,RU–KY,0.6473
Gemma 4 E4B,3,EN–RU,0.7678
Gemma 4 E4B,3,EN–KY,0.6907
Gemma 4 E4B,3,RU–KY,0.7066
Gemma 4 E4B,4,EN–RU,0.7782
Gemma 4 E4B,4,EN–KY,0.7194
Gemma 4 E4B,4,RU–KY,0.7192
Gemma 4 E4B,5,EN–RU,0.7834
Gemma 4 E4B,5,EN–KY,0.7326
Gemma 4 E4B,5,RU–KY,0.7393
Gemma 4 E4B,6,EN–RU,0.7809
Gemma 4 E4B,6,EN–KY,0.7329
Gemma 4 E4B,6,RU–KY,0.7453
Gemma 4 E4B,7,EN–RU,0.7782
Gemma 4 E4B,7,EN–KY,0.7363
Gemma 4 E4B,7,RU–KY,0.7438
Gemma 4 E4B,8,EN–RU,0.7776
Gemma 4 E4B,8,EN–KY,0.7345
Gemma 4 E4B,8,RU–KY,0.742
Gemma 4 E4B,9,EN–RU,0.7266
Gemma 4 E4B,9,EN–KY,0.6716
Gemma 4 E4B,9,RU–KY,0.6826
Gemma 4 E4B,10,EN–RU,0.7088
Gemma 4 E4B,10,EN–KY,0.6608
Gemma 4 E4B,10,RU–KY,0.6658
Gemma 4 E4B,11,EN–RU,0.7034
Gemma 4 E4B,11,EN–KY,0.6598
Gemma 4 E4B,11,RU–KY,0.6631
Gemma 4 E4B,12,EN–RU,0.7415
Gemma 4 E4B,12,EN–KY,0.7025
Gemma 4 E4B,12,RU–KY,0.7079
Gemma 4 E4B,13,EN–RU,0.7417
Gemma 4 E4B,13,EN–KY,0.7038
Gemma 4 E4B,13,RU–KY,0.7119
Gemma 4 E4B,14,EN–RU,0.7334
Gemma 4 E4B,14,EN–KY,0.6959
Gemma 4 E4B,14,RU–KY,0.7031
Gemma 4 E4B,15,EN–RU,0.7008
Gemma 4 E4B,15,EN–KY,0.6732
Gemma 4 E4B,15,RU–KY,0.6796
Gemma 4 E4B,16,EN–RU,0.6782
Gemma 4 E4B,16,EN–KY,0.6596
Gemma 4 E4B,16,RU–KY,0.6632
Gemma 4 E4B,17,EN–RU,0.6552
Gemma 4 E4B,17,EN–KY,0.6406
Gemma 4 E4B,17,RU–KY,0.6447
Gemma 4 E4B,18,EN–RU,0.6738
Gemma 4 E4B,18,EN–KY,0.6524
Gemma 4 E4B,18,RU–KY,0.6599
Gemma 4 E4B,19,EN–RU,0.6816
Gemma 4 E4B,19,EN–KY,0.668
Gemma 4 E4B,19,RU–KY,0.6784
Gemma 4 E4B,20,EN–RU,0.6904
Gemma 4 E4B,20,EN–KY,0.678
Gemma 4 E4B,20,RU–KY,0.6904
Gemma 4 E4B,21,EN–RU,0.705
Gemma 4 E4B,21,EN–KY,0.6854
Gemma 4 E4B,21,RU–KY,0.6988
Gemma 4 E4B,22,EN–RU,0.7233
Gemma 4 E4B,22,EN–KY,0.6912
Gemma 4 E4B,22,RU–KY,0.7008
Gemma 4 E4B,23,EN–RU,0.724
Gemma 4 E4B,23,EN–KY,0.6972
Gemma 4 E4B,23,RU–KY,0.7046
Gemma 4 E4B,24,EN–RU,0.7459
Gemma 4 E4B,24,EN–KY,0.7176
Gemma 4 E4B,24,RU–KY,0.7277
Gemma 4 E4B,25,EN–RU,0.7666
Gemma 4 E4B,25,EN–KY,0.7344
Gemma 4 E4B,25,RU–KY,0.7441
Gemma 4 E4B,26,EN–RU,0.7749
Gemma 4 E4B,26,EN–KY,0.7419
Gemma 4 E4B,26,RU–KY,0.749
Gemma 4 E4B,27,EN–RU,0.775
Gemma 4 E4B,27,EN–KY,0.741
Gemma 4 E4B,27,RU–KY,0.7463
Gemma 4 E4B,28,EN–RU,0.7691
Gemma 4 E4B,28,EN–KY,0.7372
Gemma 4 E4B,28,RU–KY,0.7399
Gemma 4 E4B,29,EN–RU,0.7522
Gemma 4 E4B,29,EN–KY,0.7174
Gemma 4 E4B,29,RU–KY,0.7206
Gemma 4 E4B,30,EN–RU,0.7052
Gemma 4 E4B,30,EN–KY,0.6698
Gemma 4 E4B,30,RU–KY,0.6738
Gemma 4 E4B,31,EN–RU,0.7261
Gemma 4 E4B,31,EN–KY,0.6893
