model,layer,pair,rsa_rho
Gemma 4 E4B,0,EN–RU,0.8406
Gemma 4 E4B,0,EN–KY,0.8267
Gemma 4 E4B,0,RU–KY,0.8397
Gemma 4 E4B,1,EN–RU,0.7649
Gemma 4 E4B,1,EN–KY,0.6978
Gemma 4 E4B,1,RU–KY,0.7561
Gemma 4 E4B,2,EN–RU,0.8469
Gemma 4 E4B,2,EN–KY,0.7826
Gemma 4 E4B,2,RU–KY,0.797
Gemma 4 E4B,3,EN–RU,0.8816
Gemma 4 E4B,3,EN–KY,0.7766
Gemma 4 E4B,3,RU–KY,0.8002
Gemma 4 E4B,4,EN–RU,0.8843
Gemma 4 E4B,4,EN–KY,0.8351
Gemma 4 E4B,4,RU–KY,0.842
Gemma 4 E4B,5,EN–RU,0.8307
Gemma 4 E4B,5,EN–KY,0.7751
Gemma 4 E4B,5,RU–KY,0.7856
Gemma 4 E4B,6,EN–RU,0.812
Gemma 4 E4B,6,EN–KY,0.7779
Gemma 4 E4B,6,RU–KY,0.7903
Gemma 4 E4B,7,EN–RU,0.7492
Gemma 4 E4B,7,EN–KY,0.7279
Gemma 4 E4B,7,RU–KY,0.7235
Gemma 4 E4B,8,EN–RU,0.7344
Gemma 4 E4B,8,EN–KY,0.691
Gemma 4 E4B,8,RU–KY,0.688
Gemma 4 E4B,9,EN–RU,0.5997
Gemma 4 E4B,9,EN–KY,0.5175
Gemma 4 E4B,9,RU–KY,0.5189
Gemma 4 E4B,10,EN–RU,0.7243
Gemma 4 E4B,10,EN–KY,0.6425
Gemma 4 E4B,10,RU–KY,0.6479
Gemma 4 E4B,11,EN–RU,0.7488
Gemma 4 E4B,11,EN–KY,0.6943
Gemma 4 E4B,11,RU–KY,0.7017
Gemma 4 E4B,12,EN–RU,0.7466
Gemma 4 E4B,12,EN–KY,0.6721
Gemma 4 E4B,12,RU–KY,0.6807
Gemma 4 E4B,13,EN–RU,0.7353
Gemma 4 E4B,13,EN–KY,0.656
Gemma 4 E4B,13,RU–KY,0.6642
Gemma 4 E4B,14,EN–RU,0.7049
Gemma 4 E4B,14,EN–KY,0.6305
Gemma 4 E4B,14,RU–KY,0.6286
Gemma 4 E4B,15,EN–RU,0.6351
Gemma 4 E4B,15,EN–KY,0.5992
Gemma 4 E4B,15,RU–KY,0.5927
Gemma 4 E4B,16,EN–RU,0.6296
Gemma 4 E4B,16,EN–KY,0.6313
Gemma 4 E4B,16,RU–KY,0.6313
Gemma 4 E4B,17,EN–RU,0.5802
Gemma 4 E4B,17,EN–KY,0.6137
Gemma 4 E4B,17,RU–KY,0.6049
Gemma 4 E4B,18,EN–RU,0.4825
Gemma 4 E4B,18,EN–KY,0.4425
Gemma 4 E4B,18,RU–KY,0.4505
Gemma 4 E4B,19,EN–RU,0.4239
Gemma 4 E4B,19,EN–KY,0.4061
Gemma 4 E4B,19,RU–KY,0.4162
Gemma 4 E4B,20,EN–RU,0.5001
Gemma 4 E4B,20,EN–KY,0.4938
