model,lang,mean_L,mean_LN,mean_acc,last_L,last_LN,last_acc,d_acc
Gemma 4,EN,0,0.0,0.603,42,1.0,0.383,-0.22
Gemma 4,RU,7,0.17,0.508,7,0.17,0.348,-0.16
Gemma 4,KY,4,0.1,0.453,7,0.17,0.312,-0.141
Qwen3,EN,10,0.28,0.605,36,1.0,0.476,-0.129
Qwen3,RU,11,0.31,0.582,35,0.97,0.447,-0.135
Qwen3,KY,9,0.25,0.482,11,0.31,0.374,-0.108
Llama,EN,1,0.03,0.625,28,0.88,0.472,-0.153
Llama,RU,19,0.59,0.568,14,0.44,0.474,-0.094
Llama,KY,3,0.09,0.478,16,0.5,0.397,-0.081
Mistral,EN,5,0.16,0.611,10,0.31,0.473,-0.138
Mistral,RU,9,0.28,0.57,17,0.53,0.455,-0.115
Mistral,KY,5,0.16,0.451,32,1.0,0.336,-0.115
