model,lang,layer,linear_acc,ci_lo,ci_hi,control_acc,selectivity,mlp_acc,mlp_gap
Gemma 4 E4B,EN,0,0.6034,0.5784,0.6284,0.1905,0.4128,0.6209,0.0176
Gemma 4 E4B,RU,7,0.5081,0.4818,0.5331,0.1635,0.3446,0.5345,0.0264
Gemma 4 E4B,KY,4,0.4534,0.4277,0.4784,0.1615,0.2919,0.4851,0.0318
Qwen3-8B,EN,10,0.6054,0.5804,0.6304,0.1649,0.4405,0.6108,0.0054
Qwen3-8B,RU,11,0.5824,0.5568,0.6068,0.1723,0.4101,0.6074,0.025
Qwen3-8B,KY,9,0.4824,0.4568,0.5088,0.1831,0.2993,0.5061,0.0236
Llama-3.1-8B,EN,1,0.625,0.6007,0.65,0.1649,0.4601,0.6358,0.0108
Llama-3.1-8B,RU,19,0.5682,0.5432,0.5932,0.1723,0.3959,0.5892,0.0209
Llama-3.1-8B,KY,3,0.4784,0.4527,0.5034,0.1689,0.3095,0.4824,0.0041
Mistral-7B,EN,5,0.6108,0.5858,0.6365,0.152,0.4588,0.6189,0.0081
Mistral-7B,RU,9,0.5696,0.5439,0.5946,0.1764,0.3932,0.5811,0.0115
Mistral-7B,KY,5,0.4507,0.425,0.4757,0.1493,0.3014,0.4554,0.0047
XLM-R,EN,11,0.5507,0.5257,0.5764,0.1777,0.373,0.577,0.0264
XLM-R,RU,21,0.4818,0.4561,0.5068,0.1764,0.3054,0.5061,0.0243
XLM-R,KY,14,0.4588,0.4331,0.4845,0.1736,0.2851,0.4845,0.0257
