model_a,model_b,acc_a,acc_b,delta,ci95_lo,ci95_hi,p_two_sided
XLM-R,Qwen3,0.3843,0.3488,0.0355,-0.0042,0.0743,0.0808
XLM-R,Llama-3.1,0.3843,0.3412,0.0431,0.0025,0.0836,0.0398
XLM-R,Gemma 4,0.3843,0.2922,0.0921,0.0498,0.1334,0.0
XLM-R,Mistral,0.3843,0.239,0.1453,0.1073,0.1833,0.0
XLM-R,mBERT,0.3843,0.1985,0.1858,0.1486,0.2238,0.0
XLM-R,OLMo-2,0.3843,0.1833,0.201,0.1639,0.239,0.0
XLM-R,Qwen2.5,0.3843,0.2686,0.1157,0.0743,0.1554,0.0
Qwen3,Llama-3.1,0.3488,0.3412,0.0076,-0.0253,0.0405,0.6616
Qwen3,Gemma 4,0.3488,0.2922,0.0566,0.0203,0.0938,0.0012
Qwen3,Mistral,0.3488,0.239,0.1098,0.0718,0.147,0.0
Qwen3,mBERT,0.3488,0.1985,0.1503,0.1115,0.1892,0.0
Qwen3,OLMo-2,0.3488,0.1833,0.1655,0.1301,0.201,0.0
Qwen3,Qwen2.5,0.3488,0.2686,0.0802,0.0456,0.1149,0.0
Llama-3.1,Gemma 4,0.3412,0.2922,0.049,0.0144,0.0836,0.0084
Llama-3.1,Mistral,0.3412,0.239,0.1022,0.0659,0.1385,0.0
Llama-3.1,mBERT,0.3412,0.1985,0.1427,0.1047,0.1807,0.0
Llama-3.1,OLMo-2,0.3412,0.1833,0.1579,0.1233,0.1926,0.0
Llama-3.1,Qwen2.5,0.3412,0.2686,0.0726,0.038,0.1073,0.0
Gemma 4,Mistral,0.2922,0.239,0.0532,0.0177,0.0887,0.0038
Gemma 4,mBERT,0.2922,0.1985,0.0937,0.0574,0.1301,0.0
Gemma 4,OLMo-2,0.2922,0.1833,0.109,0.0743,0.1427,0.0
Gemma 4,Qwen2.5,0.2922,0.2686,0.0236,-0.0127,0.0608,0.2224
Mistral,mBERT,0.239,0.1985,0.0405,0.0084,0.0709,0.0156
Mistral,OLMo-2,0.239,0.1833,0.0557,0.0236,0.0878,0.0006
Mistral,Qwen2.5,0.239,0.2686,-0.0296,-0.0608,0.0017,0.0708
mBERT,OLMo-2,0.1985,0.1833,0.0152,-0.0169,0.0481,0.383
mBERT,Qwen2.5,0.1985,0.2686,-0.0701,-0.1039,-0.0363,0.0
OLMo-2,Qwen2.5,0.1833,0.2686,-0.0853,-0.1199,-0.0507,0.0
