model,src,tgt,layer_star,dev_acc,test_acc
gemma4,en,ru,7,0.473,0.4966
gemma4,en,ky,9,0.3142,0.25
gemma4,ru,en,13,0.4797,0.5135
gemma4,ru,ky,10,0.3514,0.2905
gemma4,ky,en,6,0.3108,0.3209
gemma4,ky,ru,12,0.2939,0.3074
qwen3,en,ru,15,0.5777,0.5811
qwen3,en,ky,12,0.3446,0.2939
qwen3,ru,en,10,0.6047,0.5439
qwen3,ru,ky,13,0.2905,0.277
qwen3,ky,en,20,0.4257,0.4426
qwen3,ky,ru,19,0.4257,0.3818
llama,en,ru,9,0.6182,0.5372
llama,en,ky,14,0.3615,0.3581
llama,ru,en,7,0.5676,0.5135
llama,ru,ky,10,0.2939,0.3041
llama,ky,en,14,0.3615,0.3412
llama,ky,ru,11,0.3818,0.3615
mistral,en,ru,9,0.5473,0.5372
mistral,en,ky,21,0.2432,0.1993
mistral,ru,en,17,0.5676,0.527
mistral,ru,ky,8,0.25,0.2399
mistral,ky,en,13,0.2669,0.2804
mistral,ky,ru,6,0.3007,0.2365
xlmr,en,ru,15,0.4426,0.4696
xlmr,en,ky,12,0.4054,0.3919
xlmr,ru,en,14,0.5034,0.4764
xlmr,ru,ky,13,0.4291,0.3581
xlmr,ky,en,19,0.4426,0.4088
xlmr,ky,ru,19,0.4628,0.3784
mbert,en,ru,7,0.2568,0.25
mbert,en,ky,3,0.2399,0.1655
mbert,ru,en,7,0.2736,0.2466
mbert,ru,ky,12,0.2568,0.2264
mbert,ky,en,11,0.2128,0.1858
mbert,ky,ru,7,0.2061,0.2162
qwen25_7b,en,ru,10,0.598,0.5642
qwen25_7b,en,ky,14,0.2703,0.2331
qwen25_7b,ru,en,13,0.4966,0.5034
qwen25_7b,ru,ky,15,0.2838,0.2736
qwen25_7b,ky,en,22,0.2669,0.3007
qwen25_7b,ky,ru,8,0.3311,0.2669
olmo2_7b,en,ru,19,0.5338,0.4358
olmo2_7b,en,ky,12,0.2601,0.1419
olmo2_7b,ru,en,12,0.5338,0.5169
olmo2_7b,ru,ky,8,0.2128,0.1757
olmo2_7b,ky,en,28,0.2635,0.2128
olmo2_7b,ky,ru,30,0.2703,0.2027
