src,tgt,layer,transfer_acc
en,ru,0,0.33648648858070374
en,ru,1,0.3168919086456299
en,ru,2,0.36891892552375793
en,ru,3,0.39459460973739624
en,ru,4,0.44797298312187195
en,ru,5,0.47837838530540466
en,ru,6,0.5614864826202393
en,ru,7,0.5466216206550598
en,ru,8,0.5358108282089233
en,ru,9,0.5027027130126953
en,ru,10,0.49391892552375793
en,ru,11,0.5229730010032654
en,ru,12,0.5195946097373962
en,ru,13,0.5033783912658691
en,ru,14,0.4905405640602112
en,ru,15,0.46418920159339905
en,ru,16,0.43851351737976074
en,ru,17,0.4168919026851654
en,ru,18,0.3581081032752991
en,ru,19,0.3054054081439972
en,ru,20,0.333108127117157
en,ru,21,0.2966216206550598
en,ru,22,0.2851351499557495
en,ru,23,0.3445945978164673
en,ru,24,0.28378379344940186
en,ru,25,0.33243244886398315
en,ru,26,0.3263513445854187
en,ru,27,0.3405405580997467
en,ru,28,0.3385135233402252
en,ru,29,0.3378378450870514
en,ru,30,0.26081082224845886
en,ru,31,0.25337839126586914
en,ru,32,0.23310811817646027
en,ru,33,0.26756757497787476
en,ru,34,0.22364865243434906
en,ru,35,0.2432432472705841
en,ru,36,0.3547297418117523
en,ru,37,0.29256758093833923
en,ru,38,0.329054057598114
en,ru,39,0.3216216266155243
en,ru,40,0.2567567527294159
en,ru,41,0.2635135054588318
en,ru,42,0.23918919265270233
en,ky,0,0.21689189970493317
en,ky,1,0.16959460079669952
en,ky,2,0.20945946872234344
en,ky,3,0.22770270705223083
en,ky,4,0.24054054915905
en,ky,5,0.23918919265270233
en,ky,6,0.2966216206550598
en,ky,7,0.3033783733844757
en,ky,8,0.2993243336677551
en,ky,9,0.30202704668045044
en,ky,10,0.32500001788139343
en,ky,11,0.329054057598114
en,ky,12,0.29324325919151306
en,ky,13,0.3175675868988037
en,ky,14,0.2986486554145813
en,ky,15,0.2993243336677551
en,ky,16,0.2574324309825897
en,ky,17,0.272972971200943
en,ky,18,0.24121622741222382
en,ky,19,0.23581081628799438
en,ky,20,0.23783785104751587
en,ky,21,0.23243243992328644
en,ky,22,0.16621622443199158
en,ky,23,0.2317567616701126
en,ky,24,0.21351352334022522
en,ky,25,0.21824324131011963
en,ky,26,0.22567568719387054
en,ky,27,0.23581081628799438
en,ky,28,0.21013514697551727
en,ky,29,0.21351352334022522
en,ky,30,0.2128378450870514
en,ky,31,0.204054057598114
en,ky,32,0.19729730486869812
en,ky,33,0.20202703773975372
en,ky,34,0.21216216683387756
en,ky,35,0.2013513594865799
en,ky,36,0.19594594836235046
en,ky,37,0.20472973585128784
en,ky,38,0.21148648858070374
en,ky,39,0.20202703773975372
en,ky,40,0.1898648738861084
en,ky,41,0.1993243247270584
en,ky,42,0.1804054081439972
ru,en,0,0.3682432472705841
ru,en,1,0.33716216683387756
ru,en,2,0.36486488580703735
ru,en,3,0.4493243396282196
ru,en,4,0.4763513505458832
ru,en,5,0.46216216683387756
ru,en,6,0.5547297596931458
ru,en,7,0.5540540814399719
ru,en,8,0.533108115196228
ru,en,9,0.5560811161994934
ru,en,10,0.5344594717025757
ru,en,11,0.5493243336677551
ru,en,12,0.5310810804367065
ru,en,13,0.5236486792564392
ru,en,14,0.47770270705223083
ru,en,15,0.4533783793449402
ru,en,16,0.4358108341693878
ru,en,17,0.4162162244319916
ru,en,18,0.3567567765712738
ru,en,19,0.3222973048686981
ru,en,20,0.333108127117157
ru,en,21,0.33040541410446167
ru,en,22,0.3493243455886841
ru,en,23,0.39729729294776917
ru,en,24,0.3310810923576355
ru,en,25,0.34594595432281494
ru,en,26,0.3641892075538635
ru,en,27,0.3121621608734131
ru,en,28,0.31621623039245605
ru,en,29,0.3155405521392822
ru,en,30,0.2587837874889374
ru,en,31,0.32972973585128784
ru,en,32,0.3493243455886841
ru,en,33,0.35067567229270935
ru,en,34,0.32770270109176636
ru,en,35,0.26486486196517944
ru,en,36,0.38108110427856445
ru,en,37,0.3148648738861084
ru,en,38,0.29256758093833923
ru,en,39,0.33040541410446167
ru,en,40,0.36013513803482056
ru,en,41,0.33918920159339905
ru,en,42,0.3445945978164673
ru,ky,0,0.20337837934494019
ru,ky,1,0.22635135054588318
ru,ky,2,0.24391892552375793
ru,ky,3,0.2317567616701126
ru,ky,4,0.2594594657421112
ru,ky,5,0.28581082820892334
ru,ky,6,0.3655405640602112
ru,ky,7,0.3513513505458832
ru,ky,8,0.3837837874889374
ru,ky,9,0.34662163257598877
ru,ky,10,0.3722973167896271
