layer,cka_en_ru,cka_en_ky,cka_ru_ky
0,0.6771141886711121,0.6058299541473389,0.6165686845779419
1,0.6927427649497986,0.628818929195404,0.6402367353439331
2,0.6846334934234619,0.6203703284263611,0.64061039686203
3,0.6633045077323914,0.5939415693283081,0.6181580424308777
4,0.6622115969657898,0.5920813083648682,0.6191893219947815
5,0.6847359538078308,0.5814535617828369,0.5989255309104919
6,0.7263100147247314,0.6307805776596069,0.6258103251457214
7,0.7159082293510437,0.6322546601295471,0.6198973059654236
8,0.7266786694526672,0.6558008790016174,0.6386693716049194
9,0.7261595726013184,0.6576023697853088,0.6461624503135681
10,0.7437268495559692,0.6818312406539917,0.6819099187850952
11,0.7255251407623291,0.6514205932617188,0.6372251510620117
12,0.6097284555435181,0.5551230311393738,0.5267274379730225
13,0.5383625030517578,0.4608529210090637,0.4332996606826782
14,0.4885825216770172,0.40408018231391907,0.37366002798080444
15,0.47594785690307617,0.40642374753952026,0.38353320956230164
16,0.5829346179962158,0.5240727066993713,0.5172086358070374
17,0.6161455512046814,0.5740817189216614,0.5576385855674744
18,0.592464804649353,0.5594451427459717,0.5360619425773621
19,0.5943804979324341,0.5502123236656189,0.5412349104881287
20,0.6776058673858643,0.6091094017028809,0.6130592823028564
21,0.7150773406028748,0.6486284732818604,0.6522154211997986
22,0.6939893364906311,0.5954539179801941,0.6051543951034546
23,0.666637122631073,0.585313618183136,0.6007039546966553
24,0.4835270047187805,0.4356392025947571,0.42692506313323975
