lang,layer,acc_mean,acc_std,fold_0,fold_1,fold_2,fold_3,fold_4
en,0,0.5317567646503448,0.027826031229809055,0.5472972989082336,0.5472972989082336,0.5270270109176636,0.4797297418117523,0.5574324727058411
en,1,0.5297297358512878,0.022753313517565835,0.5337837934494019,0.5337837934494019,0.5304054021835327,0.48986488580703735,0.5608108043670654
en,2,0.5175675749778748,0.017541563422514214,0.5135135054588318,0.5304054021835327,0.5202702879905701,0.4864864945411682,0.537162184715271
en,3,0.5189189314842224,0.025335583577963016,0.5236486792564392,0.5270270109176636,0.5202702879905701,0.4729729890823364,0.5506756901741028
en,4,0.5114864885807038,0.03547135405546979,0.46621623635292053,0.5439189076423645,0.5,0.4864864945411682,0.5608108043670654
en,5,0.5087837934494018,0.022972978563873207,0.5,0.5304054021835327,0.4932432472705841,0.4797297418117523,0.5405405759811401
en,6,0.5087837934494018,0.03654899189999638,0.5101351737976074,0.5202702879905701,0.5304054021835327,0.43918919563293457,0.5439189076423645
en,7,0.49797298312187194,0.02542551544686117,0.48310813307762146,0.48986488580703735,0.5439189076423645,0.4695945978164673,0.5033783912658691
en,8,0.5027027130126953,0.028458691970473664,0.48986488580703735,0.5,0.5202702879905701,0.45945948362350464,0.5439189076423645
en,9,0.5128378570079803,0.014076128315024137,0.5101351737976074,0.49662163853645325,0.5236486792564392,0.5,0.5337837934494019
en,10,0.5155405580997467,0.030262436365971646,0.5405405759811401,0.5168918967247009,0.5540540814399719,0.4695945978164673,0.49662163853645325
en,11,0.5466216325759887,0.025497228578083377,0.5743243098258972,0.5405405759811401,0.5743243098258972,0.5067567825317383,0.537162184715271
en,12,0.5486486554145813,0.03475627038966568,0.5912162065505981,0.5506756901741028,0.5202702879905701,0.5,0.5810810923576355
en,13,0.5371621787548065,0.03425349989082933,0.5844594836235046,0.5202702879905701,0.5135135054588318,0.49662163853645325,0.5709459781646729
en,14,0.5310811042785645,0.02373535710259292,0.5608108043670654,0.5236486792564392,0.5405405759811401,0.48986488580703735,0.5405405759811401
en,15,0.5385135233402252,0.04157465590853877,0.6047297716140747,0.5135135054588318,0.5304054021835327,0.48310813307762146,0.5608108043670654
en,16,0.5358108222484589,0.032726705814942754,0.5743243098258972,0.537162184715271,0.5540540814399719,0.4763513505458832,0.537162184715271
en,17,0.5236486673355103,0.02998963819648723,0.5743243098258972,0.4864864945411682,0.5101351737976074,0.5101351737976074,0.537162184715271
en,18,0.5000000059604645,0.03556134625512019,0.5506756901741028,0.45270270109176636,0.5304054021835327,0.4864864945411682,0.4797297418117523
en,19,0.5027027189731598,0.02689155699281942,0.5506756901741028,0.5101351737976074,0.49662163853645325,0.4763513505458832,0.4797297418117523
en,20,0.5094594776630401,0.026635676263947913,0.5067567825317383,0.5472972989082336,0.5236486792564392,0.46621623635292053,0.5033783912658691
en,21,0.5033783793449402,0.017876687392392343,0.5135135054588318,0.5033783912658691,0.5270270109176636,0.4729729890823364,0.5
en,22,0.49864866137504577,0.02949849327876813,0.5337837934494019,0.5236486792564392,0.4797297418117523,0.45270270109176636,0.5033783912658691
en,23,0.5047297418117523,0.030035295751809358,0.5405405759811401,0.5168918967247009,0.4932432472705841,0.45270270109176636,0.5202702879905701
en,24,0.48175676465034484,0.03722965801662434,0.5135135054588318,0.5135135054588318,0.48986488580703735,0.412162184715271,0.4797297418117523
ru,0,0.4182432532310486,0.026203676346351748,0.43918919563293457,0.4256756901741028,0.37837839126586914,0.3986486494541168,0.4493243396282196
ru,1,0.41013513803482055,0.021956858837839842,0.42229729890823364,0.4054054021835327,0.3918918967247009,0.38513514399528503,0.44594594836235046
ru,2,0.4317567586898804,0.04803478822009979,0.42905405163764954,0.4425675868988037,0.4054054021835327,0.3682432472705841,0.5135135054588318
ru,3,0.42500001192092896,0.04624307220379235,0.412162184715271,0.4493243396282196,0.3986486494541168,0.36486488580703735,0.5
ru,4,0.42297298908233644,0.04050674338052805,0.4493243396282196,0.4256756901741028,0.4256756901741028,0.3479729890823364,0.46621623635292053
ru,5,0.42500001192092896,0.03009601929350802,0.43918919563293457,0.4256756901741028,0.412162184715271,0.37837839126586914,0.4695945978164673
