src,tgt,layer,transfer_acc
en,ru,0,0.18716216087341309
en,ru,1,0.22297297418117523
en,ru,2,0.27905407547950745
en,ru,3,0.33243244886398315
en,ru,4,0.2986486554145813
en,ru,5,0.31081080436706543
en,ru,6,0.3236486613750458
en,ru,7,0.34324324131011963
en,ru,8,0.36689189076423645
en,ru,9,0.37905406951904297
en,ru,10,0.43175676465034485
en,ru,11,0.49189189076423645
en,ru,12,0.5256757140159607
en,ru,13,0.5486486554145813
en,ru,14,0.533108115196228
en,ru,15,0.5540540814399719
en,ru,16,0.5344594717025757
en,ru,17,0.5033783912658691
en,ru,18,0.5020270347595215
en,ru,19,0.5216216444969177
en,ru,20,0.545945942401886
en,ru,21,0.49189189076423645
en,ru,22,0.3581081032752991
en,ru,23,0.37567567825317383
en,ru,24,0.3817567527294159
en,ky,0,0.19527027010917664
en,ky,1,0.19527027010917664
en,ky,2,0.20945946872234344
en,ky,3,0.22364865243434906
en,ky,4,0.22297297418117523
en,ky,5,0.2364864945411682
en,ky,6,0.27229729294776917
en,ky,7,0.25608107447624207
en,ky,8,0.27432432770729065
en,ky,9,0.3074324429035187
en,ky,10,0.352027028799057
en,ky,11,0.3844594657421112
en,ky,12,0.477027028799057
en,ky,13,0.39459460973739624
en,ky,14,0.3351351320743561
en,ky,15,0.43918919563293457
en,ky,16,0.333108127117157
en,ky,17,0.4418919086456299
en,ky,18,0.46148648858070374
en,ky,19,0.4472973048686981
en,ky,20,0.397972971200943
en,ky,21,0.3885135352611542
en,ky,22,0.2317567616701126
en,ky,23,0.26959460973739624
en,ky,24,0.2689189314842224
ru,en,0,0.23108108341693878
ru,en,1,0.23513513803482056
ru,en,2,0.30000001192092896
ru,en,3,0.295945942401886
ru,en,4,0.2587837874889374
ru,en,5,0.2614865005016327
ru,en,6,0.28783783316612244
ru,en,7,0.2898648679256439
ru,en,8,0.38581082224845886
ru,en,9,0.38986486196517944
ru,en,10,0.4810810983181
ru,en,11,0.5182432532310486
ru,en,12,0.5858108401298523
ru,en,13,0.570270299911499
ru,en,14,0.5986486673355103
ru,en,15,0.6067567467689514
ru,en,16,0.6148648858070374
ru,en,17,0.5655405521392822
ru,en,18,0.5837838053703308
ru,en,19,0.5898648500442505
ru,en,20,0.558783769607544
ru,en,21,0.4959459602832794
ru,en,22,0.4655405580997467
ru,en,23,0.44797298312187195
ru,en,24,0.4466216266155243
ru,ky,0,0.272972971200943
ru,ky,1,0.22094595432281494
ru,ky,2,0.23040540516376495
ru,ky,3,0.25
ru,ky,4,0.2797297239303589
ru,ky,5,0.2662162184715271
ru,ky,6,0.27432432770729065
ru,ky,7,0.3074324429035187
ru,ky,8,0.32770270109176636
ru,ky,9,0.3709459602832794
ru,ky,10,0.42229729890823364
ru,ky,11,0.4168919026851654
ru,ky,12,0.48716217279434204
ru,ky,13,0.4236486554145813
ru,ky,14,0.37635135650634766
ru,ky,15,0.4216216206550598
ru,ky,16,0.375
ru,ky,17,0.397972971200943
ru,ky,18,0.4418919086456299
ru,ky,19,0.4695945978164673
ru,ky,20,0.42972972989082336
ru,ky,21,0.3918918967247009
ru,ky,22,0.3425675630569458
ru,ky,23,0.27635136246681213
ru,ky,24,0.23716217279434204
ky,en,0,0.20000000298023224
ky,en,1,0.2479729801416397
ky,en,2,0.2621621787548065
ky,en,3,0.3074324429035187
ky,en,4,0.27162161469459534
ky,en,5,0.30202704668045044
ky,en,6,0.30000001192092896
ky,en,7,0.3155405521392822
ky,en,8,0.34324324131011963
ky,en,9,0.3655405640602112
ky,en,10,0.42770272493362427
ky,en,11,0.3891891837120056
ky,en,12,0.435135155916214
ky,en,13,0.44797298312187195
ky,en,14,0.5202702879905701
ky,en,15,0.5277026891708374
ky,en,16,0.541216254234314
ky,en,17,0.533108115196228
ky,en,18,0.5067567825317383
ky,en,19,0.524324357509613
ky,en,20,0.4891892075538635
ky,en,21,0.458108127117157
ky,en,22,0.4047297537326813
ky,en,23,0.408108115196228
ky,en,24,0.33918920159339905
ky,ru,0,0.2520270347595215
ky,ru,1,0.26554054021835327
ky,ru,2,0.2567567527294159
ky,ru,3,0.2594594657421112
ky,ru,4,0.24594594538211823
ky,ru,5,0.2432432472705841
ky,ru,6,0.2797297239303589
ky,ru,7,0.2750000059604645
ky,ru,8,0.28581082820892334
ky,ru,9,0.3222973048686981
ky,ru,10,0.3966216444969177
ky,ru,11,0.4141891896724701
ky,ru,12,0.41081082820892334
ky,ru,13,0.4398648738861084
ky,ru,14,0.4702702760696411
ky,ru,15,0.5121621489524841
ky,ru,16,0.5391892194747925
ky,ru,17,0.5425675511360168
ky,ru,18,0.5209459662437439
ky,ru,19,0.5114864706993103
ky,ru,20,0.49864867329597473
ky,ru,21,0.4959459602832794
ky,ru,22,0.4560810923576355
ky,ru,23,0.43918919563293457
ky,ru,24,0.3236486613750458
