lang,layer,acc_mean,acc_std
en,0,0.4939189314842224,0.02780961448743091
en,1,0.4810810923576355,0.027161820933727696
en,2,0.4682432532310486,0.021747939402668635
en,3,0.4594594717025757,0.024641330215299226
en,4,0.4614865005016327,0.028394462425779834
en,5,0.4736486613750458,0.034213489962214516
en,6,0.46756757497787477,0.02533558532651829
en,7,0.458108115196228,0.028793611867352163
en,8,0.44797298312187195,0.037352096269924744
en,9,0.46959460377693174,0.018749241875127734
en,10,0.46621622443199157,0.028022214277255205
en,11,0.45135135650634767,0.02613389612394275
en,12,0.4452702760696411,0.009411075253681648
ru,0,0.40135136246681213,0.02064960745471525
ru,1,0.4060810923576355,0.02458568551683446
ru,2,0.3905405461788177,0.030637254327934318
ru,3,0.3945946037769318,0.03678556386778657
ru,4,0.38986487984657286,0.03300452642488336
ru,5,0.3878378450870514,0.013066940973183151
ru,6,0.3952702820301056,0.022204966194584133
ru,7,0.404054069519043,0.02533558723403529
ru,8,0.4175675749778748,0.02089138421751298
ru,9,0.4148648738861084,0.027312680019619097
ru,10,0.41216217279434203,0.02736278145505497
ru,11,0.42094595432281495,0.03202160475947049
ru,12,0.4074324369430542,0.02757883024357632
ky,0,0.3972973108291626,0.02807105108041964
ky,1,0.3790540635585785,0.020315271703854366
ky,2,0.39729730486869813,0.015496416360302748
ky,3,0.40945946574211123,0.020869517379755866
ky,4,0.39662163257598876,0.01690540350691791
ky,5,0.4013513565063477,0.020427321359958592
ky,6,0.38108108639717103,0.020649610770265038
ky,7,0.3925675809383392,0.016188034157704312
ky,8,0.3858108162879944,0.018429976955308576
ky,9,0.38716217279434206,0.014428488364040459
ky,10,0.39594595432281493,0.016878371021076796
ky,11,0.38378379344940183,0.014895544965869378
ky,12,0.3702702820301056,0.022672927822099717
